ST	Oxf_gltA	Oxf_gyrB	Oxf_gdhB	Oxf_recA	Oxf_cpn60	Oxf_gpi	Oxf_rpoD	clonal_complex	species
147	1	54	62	31	4	55	45		
148	1	3	65	45	4	4	26		
149	1	47	67	28	1	82	6		
150	2	38	42	1	1	4	49		
151	21	12	2	28	32	83	4		
152	1	15	56	1	1	72	45		
153	21	35	2	28	1	84	4		
154	21	55	13	28	1	84	2		
155	1	57	78	12	1	25	51		
156	1	15	2	28	1	25	32		
157	1	31	79	43	4	25	50		
158	21	35	2	28	1	85	4		
159	1	57	78	12	1	10	51		
160	1	56	2	44	1	52	6		
161	21	12	2	28	1	86	4		
162	40	1	83	6	4	7	13		
163	33	12	40	26	32	91	5		
164	33	12	40	26	32	84	5		
165	33	12	40	26	25	84	5		
166	33	12	40	26	32	87	5		
167	33	12	40	26	32	83	5		
168	1	12	65	45	4	88	26		
169	1	34	59	28	4	90	45		
170	1	12	80	28	35	89	30		
171	1	48	65	45	4	90	26		
172	1	34	80	28	1	72	45		
173	1	58	29	2	4	9	53		
174	11	27	14	21	15	22	15		
175	1	17	82	39	1	92	7		
176	21	48	58	42	36	83	4		
177	33	21	12	49	1	54	7		
178	31	61	59	46	16	58	6		
179	35	62	75	28	35	7	30		
180	1	63	12	6	28	59	30		
181	1	64	76	1	23	81	32		
182	35	60	12	11	26	11	48		
183	1	17	56	1	1	91	26		
184	36	31	59	28	4	54	4		
185	37	53	13	47	32	64	52		
186	38	59	80	48	18	58	43		
187	1	1	1	1	1	9	6		
188	31	33	67	40	16	58	7		
189	1	12	3	2	2	4	3		
190	1	3	3	2	2	52	3		
191	1	3	3	2	2	94	3		
192	10	53	4	11	4	95	5		
193	1	35	3	2	2	3	3		
194	1	15	4	11	4	58	4		
195	1	3	3	2	2	96	3		
196	2	21	12	32	26	63	5		
197	10	12	4	11	4	64	5		
198	16	29	2	23	31	30	23		
199	16	29	2	23	18	30	23		
200	17	29	24	12	19	31	40		
201	16	29	2	23	2	30	23		
202	32	46	4	11	4	32	5		
203	41	1	12	32	1	98	6		
204	1	15	3	2	2	178	3		
205	1	17	8	10	28	99	32		
206	1	17	12	2	2	99	3		
207	10	53	74	11	4	100	5		
208	1	3	3	2	2	97	3		
209	1	15	8	39	28	56	32		
210	1	47	8	10	28	4	32		
211	1	52	62	39	4	4	38		
212	1	15	8	10	28	56	9		
213	1	52	8	10	28	55	32		
214	1	3	3	2	2	96	2		
215	12	17	12	1	26	3	7		
216	10	12	4	11	12	9	5		
217	10	12	4	5	12	57	5		
218	1	3	3	2	2	102	3		
219	1	3	3	2	2	101	3		
220	1	3	3	2	1	7	3		
221	33	57	67	10	1	103	6		
222	21	12	40	26	32	157	4		
223	1	17	3	2	2	56	3		
224	1	34	12	6	1	18	45		
225	12	17	12	1	29	99	39		
226	12	17	12	1	29	16	54		
227	1	15	8	10	28	99	32		
228	1	15	2	28	1	16	32		
229	1	15	2	28	1	107	32		
230	1	17	8	10	28	108	32		
231	10	12	4	11	4	98	5		
232	21	48	58	50	36	109	4		
233	1	15	8	10	28	106	32		
234	21	48	58	42	36	109	4		
235	1	69	90	2	1	79	30		
236	12	17	12	1	29	102	39		
237	1	15	8	10	28	106	4		
238	1	3	3	2	38	97	3		
239	1	12	3	2	2	55	3		
240	1	15	2	15	1	52	16		
241	1	15	8	10	28	12	16		
242	1	28	49	10	1	24	4		
243	1	50	13	6	4	60	42		
244	1	51	1	1	1	9	6		
245	10	12	4	11	4	4	5		
246	10	12	4	11	4	55	5		
247	10	12	4	11	4	58	5		
248	10	18	4	11	4	11	5		
249	12	18	12	1	29	14	39		
250	12	18	12	1	29	55	23		
251	32	48	54	35	1	11	40		
252	1	49	38	12	31	56	4		
253	1	52	29	28	18	24	7		
254	21	15	3	2	35	111	4		
255	1	3	3	2	2	55	3		
256	10	3	4	11	1	9	5		
257	1	12	3	2	2	75	3		
258	1	15	8	10	28	110	32		
259	1	15	8	10	28	139	32		
260	11	65	14	21	37	105	15		
261	42	36	92	30	40	114	57		
262	49	68	119	53	41	115	58		
263	11	65	93	61	25	112	15		
264	11	70	14	21	37	4	15		
265	1	17	3	2	2	97	3		
266	1	1	12	32	1	9	6		
267	1	1	66	12	33	117	41		
268	1	1	66	12	33	129	41		
269	1	1	116	60	1	132	50		
270	1	12	3	2	46	3	3		
271	1	12	40	26	22	117	5		
272	1	12	65	45	4	4	26		
273	1	12	65	45	4	122	26		
274	1	12	103	6	29	126	32		
275	10	12	4	6	4	98	5		
276	1	15	2	28	1	104	32		
277	1	15	3	31	4	1	4		
278	1	15	12	6	28	59	63		
279	1	15	62	31	4	72	45		
280	1	17	2	12	1	138	69		
281	1	17	3	2	2	99	3		
282	1	17	3	2	2	116	3		
283	1	17	6	1	4	56	6		
284	1	17	6	1	47	56	6		
285	1	17	65	45	4	55	26		
286	1	3	3	2	2	163	3		
287	1	17	117	11	28	11	32		
288	1	34	40	26	22	1	5		
289	1	35	64	37	4	132	30		
290	1	38	3	2	2	56	3		
291	1	46	96	54	4	18	59		
292	1	46	100	12	36	71	6		
293	1	52	67	46	1	18	30		
294	1	52	94	11	1	117	26		
295	1	54	62	31	4	50	45		
296	1	113	56	1	4	140	45		
297	1	64	109	1	23	12	26		
298	1	72	3	2	2	56	3		
299	1	74	6	1	4	125	6		
300	1	76	106	46	1	131	5		
301	1	78	59	43	1	71	6		
302	1	81	11	48	18	24	43		
303	1	82	112	1	1	135	66		
304	1	83	114	1	1	136	67		
305	2	1	12	1	4	67	6		
306	2	79	73	59	1	9	6		
307	3	77	42	11	16	9	5		
308	10	12	1	33	4	9	5		
309	10	12	1	33	4	72	5		
310	10	12	1	33	4	98	5		
311	10	12	1	55	4	66	5		
312	11	27	14	21	15	119	15		
313	11	29	14	21	13	119	15		
314	11	40	47	30	27	134	33		
315	11	65	102	21	15	124	15		
316	15	17	2	12	4	64	6		
317	15	72	2	12	4	64	6		
318	18	12	80	12	1	123	3		
319	21	49	104	11	1	128	30		
320	21	84	64	11	4	9	5		
321	21	85	12	12	26	56	68		
322	23	35	3	27	23	55	7		
323	24	58	107	2	4	54	6		
324	25	27	14	21	15	119	28		
325	26	75	105	58	25	119	62		
326	27	27	97	55	25	118	60		
327	27	65	99	33	25	56	60		
328	27	65	99	55	25	120	60		
329	27	65	99	57	25	127	60		
330	28	17	45	1	16	4	2		
331	28	38	45	1	16	4	2		
332	28	38	45	1	16	40	2		
333	29	41	48	11	1	137	6		
334	33	12	59	11	32	11	5		
335	33	17	12	49	1	54	4		
336	35	63	113	1	1	71	6		
337	37	53	67	6	42	64	7		
338	43	36	93	56	43	93	61		
339	44	73	4	11	44	121	4		
340	45	77	59	2	4	56	64		
341	46	12	110	1	16	133	50		
342	48	48	58	42	36	54	41		
343	11	29	14	21	15	119	15		
344	27	65	99	55	25	130	60		
345	46	12	110	1	16	141	50		
346	1	3	3	2	2	56	3		
347	10	12	4	11	4	80	5		
348	1	35	3	2	2	102	3		
349	1	17	3	2	2	142	3		
350	1	12	3	2	2	102	3		
351	1	17	82	39	1	143	7		
352	28	38	45	1	16	144	3		
353	1	46	3	62	2	142	3		
354	1	46	96	12	4	79	59		
355	1	81	11	48	18	114	43		
356	1	46	96	54	4	79	59		
357	1	12	3	2	2	145	3		
358	1	3	3	2	2	145	3		
359	21	38	127	1	4	146	43		
360	34	12	68	41	1	10	4		
361	18	87	2	28	1	72	71		
362	11	88	14	21	15	147	15		
363	51	54	49	11	48	25	4		
364	1	15	2	28	1	40	32		
365	1	15	3	2	2	59	3		
366	1	71	3	2	2	69	3		
367	10	53	4	11	4	9	5		
368	1	3	3	2	2	140	3		
369	1	3	3	2	2	106	3		
370	1	17	10	54	1	171	50		
371	1	3	3	2	2	23	3		
372	10	12	15	11	4	142	5		
373	1	12	12	11	4	103	3		
374	1	15	19	12	4	106	2		
375	21	3	3	2	2	50	3		
376	21	35	2	28	1	83	4		
377	1	12	56	1	1	61	45		
378	1	114	12	54	1	165	68		
379	1	35	12	28	2	10	4		
380	1	3	2	28	2	52	32		
381	1	81	3	2	2	16	3		
382	50	86	120	6	2	132	70		
383	1	12	56	1	4	149	45		
384	1	12	12	11	2	148	3		
385	1	15	2	28	1	7	32		
386	31	33	67	40	1	102	7		
387	1	15	4	11	4	140	4		
388	1	15	4	11	4	95	4		
389	1	7	8	11	1	4	14		
390	31	33	67	40	1	58	7		
391	1	15	13	12	4	102	2		
392	1	43	3	2	2	10	3		
393	1	3	3	2	2	80	3		
394	1	64	4	3	3	12	3		
395	1	3	3	2	2	58	3		
396	10	53	74	6	4	80	5		
397	10	53	4	6	4	80	5		
398	21	15	3	2	35	76	4		
399	1	15	12	6	28	14	40		
400	1	81	11	48	18	115	43		
401	21	35	2	28	1	55	4		
402	12	17	12	1	29	56	39		
403	2	12	73	59	1	56	47		
404	12	17	12	1	29	3	32		
405	10	12	4	11	4	141	5		
406	10	12	4	11	4	133	5		
407	15	48	42	42	1	54	41		
408	18	14	2	28	11	107	5		
409	1	15	2	28	11	58	32		
410	24	46	96	11	16	40	26		
411	13	15	2	28	1	55	32		
412	1	34	80	28	1	52	45		
413	1	17	6	1	4	116	6		
414	2	35	45	48	1	11	5		
415	1	69	12	2	1	79	30		
416	1	69	90	2	1	102	30		
417	1	17	3	2	2	110	3		
418	1	17	3	2	2	102	2		
419	10	12	4	6	4	95	5		
420	12	17	12	1	29	95	2		
421	1	17	3	2	2	7	3		
422	10	53	4	6	4	58	5		
423	1	46	3	2	2	142	3		
424	1	17	8	10	28	117	32		
425	1	3	3	2	2	100	3		
426	1	64	3	2	2	12	3		
427	1	31	12	11	4	25	3		
428	21	15	2	28	1	52	4		
429	1	34	56	1	4	144	45		
430	1	31	49	10	1	103	4		
431	34	12	68	41	1	104	4		
432	34	12	68	41	32	104	4		
433	1	81	3	1	2	16	3		
434	10	53	4	11	4	52	5		
435	1	54	80	28	48	127	45		
436	1	3	3	2	2	103	3		
437	1	12	3	2	2	97	3		
438	12	17	12	1	29	98	39		
439	10	33	4	11	4	140	5		
440	1	15	2	28	1	148	32		
441	10	12	4	11	4	100	5		
442	10	12	4	11	4	99	5		
443	1	3	13	12	4	102	2		
444	1	38	3	2	2	96	3		
445	1	17	3	2	2	96	3		
446	1	15	3	2	2	66	3		
447	1	15	13	12	4	106	2		
448	1	15	3	2	2	98	3		
449	10	12	4	11	1	98	5		
450	1	17	3	2	2	102	3		
451	1	3	3	2	2	142	3		
452	1	12	3	2	2	110	3		
453	21	12	2	28	1	144	4		
454	1	17	80	28	35	97	30		
455	1	87	3	2	2	83	3		
456	11	65	14	20	37	83	15		
457	1	15	3	2	2	153	3		
458	33	12	40	26	32	150	5		
459	1	12	6	1	4	55	45		
460	65	17	107	11	1	156	6		
461	1	3	80	54	2	94	17		
462	31	33	59	40	16	142	7		
463	1	1	3	2	46	94	1		
464	1	3	3	2	46	142	3		
465	1	15	13	12	4	106	3		
466	1	15	13	12	4	97	2		
467	1	3	3	2	46	97	3		
468	22	3	3	2	46	140	3		
469	1	12	3	2	2	103	3		
470	1	80	80	28	1	110	30		
471	1	12	56	1	1	149	26		
472	1	17	6	1	4	99	6		
473	1	3	3	2	2	99	3		
474	1	15	66	1	4	144	41		
475	18	44	2	28	1	151	71		
476	35	50	42	49	48	157	5		
477	1	50	56	2	1	152	26		
478	33	89	40	26	32	91	5		
479	52	39	80	5	1	161	12		
480	1	34	80	28	1	160	45		
481	1	12	67	6	50	159	6		
482	1	90	6	1	36	102	6		
483	24	1	129	11	49	16	26		
484	1	91	130	1	36	110	72		
485	33	12	59	11	32	158	5		
486	10	12	4	11	28	9	5		
487	1	15	12	6	28	3	38		
488	1	15	12	1	28	3	32		
489	1	47	62	39	4	4	41		
490	1	15	2	28	1	102	32		
491	10	53	4	11	4	98	5		
492	1	3	3	2	2	117	3		
493	1	15	3	2	2	106	3		
494	1	3	3	2	4	16	3		
495	1	1	13	12	4	84	2		
496	21	15	3	2	35	69	4		
497	21	3	3	2	35	97	4		
498	10	12	4	11	4	142	5		
499	24	92	96	11	49	162	26		
500	1	3	12	1	29	163	39		
501	10	12	13	12	4	102	2		
502	1	12	3	2	2	100	3		
503	1	62	80	28	35	164	45		
504	10	12	8	11	4	9	5		
505	10	17	8	11	4	9	5		
506	1	15	8	10	28	2	32		
507	1	17	8	10	28	56	32		
508	10	12	4	11	12	167	5		
509	2	76	40	12	1	3	5		
510	1	94	59	43	1	71	6		
511	1	93	42	1	1	166	40		
512	1	3	3	2	2	83	3		
513	1	3	3	62	2	102	3		
514	1	52	29	28	18	114	7		
515	1	15	12	11	28	153	40		
516	1	69	90	62	1	18	30		
517	21	81	3	2	35	111	4		
518	31	45	8	6	30	72	6		
519	1	34	56	1	1	55	26		
520	1	72	12	11	4	54	3		
521	1	12	59	28	4	69	45		
522	1	15	13	12	4	62	2		
523	33	3	3	2	2	50	3		
524	1	12	56	1	1	11	26		
525	1	48	3	2	2	58	3		
526	1	15	13	2	4	50	2		
527	1	3	3	2	2	4	3		
528	1	12	12	11	4	25	3		
529	1	15	13	12	4	50	2		
530	1	12	12	2	4	10	3		
531	21	15	3	2	2	111	4		
532	1	3	3	2	35	11	3		
533	1	15	3	2	2	16	3		
534	1	81	3	2	2	11	3		
535	22	3	3	2	4	62	2		
536	22	15	3	2	4	62	2		
537	1	15	3	2	2	7	3		
538	1	15	3	62	2	40	3		
539	1	3	3	2	2	65	3		
540	1	3	3	2	2	160	3		
541	39	65	43	30	25	24	28		
542	1	15	12	6	28	153	40		
543	1	3	3	1	2	110	3		
544	1	87	3	2	2	97	3		
545	1	12	3	2	2	104	3		
546	1	3	3	2	2	66	3		
547	1	3	3	2	2	157	3		
548	1	15	3	2	2	157	3		
549	18	3	3	2	1	99	4		
550	18	3	3	2	1	157	4		
551	18	15	3	2	1	106	4		
552	21	35	2	28	1	145	4		
553	21	35	2	28	1	157	4		
554	1	31	12	11	4	103	3		
555	18	3	3	2	1	144	4		
556	1	12	3	2	2	144	3		
557	1	38	3	2	2	66	3		
558	1	17	3	2	2	16	3		
559	1	17	131	2	2	16	3		
560	1	17	132	2	2	16	3		
561	1	66	3	62	38	155	9		
562	1	66	3	62	38	154	9		
563	1	3	3	62	38	140	9		
564	1	90	3	62	38	155	9		
565	1	90	3	62	38	167	9		
566	1	90	3	62	38	154	9		
567	1	66	3	62	2	155	9		
568	41	66	3	62	38	155	9		
569	1	79	3	62	2	158	9		
570	1	66	3	62	2	154	9		
571	34	80	3	62	47	155	12		
572	1	66	3	62	38	166	9		
573	1	90	3	62	2	155	9		
574	33	12	40	26	32	107	5		
575	1	43	3	2	2	103	3		
576	1	15	3	2	2	168	3		
577	1	15	4	11	4	64	4		
578	1	15	13	11	4	15	4		
579	22	15	13	12	4	106	2		
580	1	15	13	12	12	142	2		
581	22	15	13	12	12	106	2		
582	1	15	13	12	4	142	2		
583	1	15	4	11	12	98	4		
584	1	2	2	2	1	2	7		
585	1	15	13	12	4	163	2		
586	52	80	111	7	39	163	2		
587	1	12	103	28	22	107	43		
588	33	31	111	28	1	107	5		
589	1	35	12	11	4	10	3		
590	1	12	12	11	4	55	3		
591	1	35	66	12	33	55	41		
592	22	53	34	11	1	59	43		
593	1	17	8	6	1	125	14		
594	33	35	2	28	32	54	5		
595	1	15	66	12	33	90	41		
596	33	12	59	11	32	72	5		
597	1	64	109	1	23	18	26		
598	21	35	3	28	1	55	4		
599	1	34	56	1	1	66	4		
600	1	34	80	28	4	55	45		
601	36	34	62	31	22	54	4		
602	35	50	42	49	1	70	5		
603	1	50	80	28	35	117	30		
604	1	34	12	6	1	55	30		
605	51	31	49	11	48	25	4		
606	1	43	12	11	1	54	3		
607	1	34	12	6	1	55	45		
608	1	34	56	1	1	72	26		
609	33	12	40	26	32	72	5		
610	1	34	56	1	4	55	45		
611	34	1	80	41	4	10	4		
612	27	48	128	30	25	24	28		
613	15	48	58	42	36	54	41		
614	1	15	2	44	1	52	32		
615	33	31	2	26	1	83	5		
616	1	72	12	11	4	54	4		
617	21	35	2	28	1	72	4		
618	34	12	68	41	32	10	4		
619	1	53	34	6	1	59	26		
620	1	1	13	12	4	16	2		
621	1	12	12	6	1	66	45		
622	1	12	40	26	1	117	5		
623	1	31	49	10	1	10	4		
624	1	81	3	2	2	16	4		
625	1	12	12	11	4	52	3		
626	1	17	82	39	1	72	7		
627	1	31	2	28	1	55	5		
628	1	12	12	11	4	145	3		
629	33	31	2	28	1	77	5		
630	51	12	49	11	48	54	4		
631	1	3	3	2	2	7	4		
632	35	50	42	49	1	10	5		
633	1	33	11	48	18	24	26		
634	1	17	8	10	30	12	32		
635	1	53	21	6	42	200	7		
636	1	17	8	10	28	12	32		
637	1	15	2	28	1	72	32		
638	36	31	8	31	22	54	4		
639	31	45	8	6	28	72	6		
640	28	38	45	1	16	55	2		
641	1	15	2	28	1	180	32		
642	22	15	13	12	4	169	2		
643	1	3	3	2	2	169	3		
644	1	34	59	28	4	176	45		
645	33	12	135	26	32	175	5		
646	18	35	135	6	4	144	50		
647	53	95	80	1	26	171	3		
648	35	90	133	64	33	153	6		
649	1	74	56	1	1	177	26		
650	1	3	3	2	2	169	6		
651	1	3	3	2	2	174	3		
652	1	15	66	12	33	173	41		
653	34	97	68	41	34	172	4		
654	1	54	135	6	4	144	45		
655	18	15	3	6	4	171	50		
656	1	3	3	2	2	169	2		
657	1	96	134	48	1	170	6		
658	10	19	4	11	4	98	3		
659	1	49	38	60	31	99	4		
660	1	1	3	2	2	102	3		
661	10	12	4	11	4	144	5		
662	1	1	1	36	1	98	6		
663	1	50	13	6	4	178	42		
664	1	15	3	2	2	179	3		
665	2	4	3	22	3	2	62		
666	2	4	3	22	15	2	62		
667	2	2	3	1	15	3	7		
668	1	98	56	1	1	55	26		
669	1	3	3	2	2	183	3		
670	1	3	3	2	2	182	3		
671	10	12	4	11	4	181	5		
672	54	3	3	2	2	97	3		
673	18	3	3	2	1	144	73		
674	11	20	14	20	37	83	15		
675	11	65	14	21	37	83	15		
676	1	3	3	2	2	184	3		
677	55	65	136	65	27	172	57		
678	26	99	43	20	25	83	28		
679	56	100	137	7	51	99	74		
680	21	101	3	28	32	172	5		
681	1	102	59	28	1	83	45		
682	33	31	2	28	1	111	5		
683	2	38	42	1	1	185	49		
684	1	3	3	2	2	110	3		
685	18	3	3	2	1	66	4		
686	1	52	3	2	2	140	3		
687	46	12	38	63	16	186	50		
688	1	15	135	6	35	187	45		
689	57	103	138	7	52	169	75		
690	1	15	2	28	1	99	32		
691	1	15	2	28	1	110	32		
692	12	17	12	1	29	144	39		
693	21	15	2	28	4	107	4		
694	12	17	12	1	28	110	39		
695	59	45	139	11	53	54	68		
696	1	34	80	28	1	144	45		
697	1	34	56	1	1	157	26		
698	36	12	62	31	22	188	4		
699	21	35	2	28	1	144	4		
700	58	39	5	66	54	189	4		
701	1	34	62	31	4	61	45		
702	33	50	80	28	1	164	5		
703	36	12	62	31	22	54	4		
704	11	20	14	20	37	190	15		
705	33	31	2	28	1	191	5		
706	60	17	140	1	4	54	4		
707	33	31	2	28	1	54	5		
708	27	37	128	30	25	109	29		
709	18	87	2	28	1	192	71		
710	21	35	2	28	1	109	4		
711	21	12	2	28	1	109	4		
712	1	35	12	11	4	109	3		
713	56	104	137	67	55	97	65		
714	1	102	80	28	1	193	45		
715	26	99	43	20	25	109	28		
716	35	12	120	1	4	194	4		
717	61	12	2	28	1	158	5		
718	1	35	66	12	33	144	41		
719	52	105	137	67	55	54	75		
720	56	39	137	7	56	97	10		
721	11	106	14	21	37	97	15		
722	1	34	12	6	1	107	45		
723	11	65	14	20	37	97	15		
724	62	80	141	7	52	97	10		
725	1	17	82	39	1	93	7		
726	1	12	80	28	35	196	30		
727	27	70	128	68	2	16	29		
728	39	65	142	30	2	97	28		
729	22	15	3	2	4	169	2		
730	22	15	13	69	4	62	2		
731	2	17	12	1	57	102	6		
732	1	107	12	10	23	195	26		
733	1	3	3	2	46	97	9		
734	1	15	59	28	4	157	45		
735	1	3	3	2	2	197	3		
736	1	3	143	2	2	11	3		
737	1	31	3	2	2	158	3		
738	10	15	4	11	4	98	5		
739	1	15	59	28	4	144	45		
740	10	12	4	11	4	98	2		
741	21	35	2	28	1	107	4		
742	1	17	12	12	26	99	68		
743	1	15	56	1	1	61	45		
744	1	1	66	12	33	178	41		
745	1	63	12	6	28	153	32		
746	33	89	40	26	32	104	5		
747	1	15	12	6	28	153	32		
748	10	12	4	2	4	98	5		
749	29	41	48	11	1	171	6		
750	21	2	96	6	23	142	26		
751	33	31	2	28	1	83	5		
752	1	17	62	31	4	158	45		
753	1	57	78	12	1	103	51		
754	10	12	4	11	4	56	5		
755	10	12	4	11	12	57	5		
756	12	12	12	1	29	3	39		
757	1	12	8	10	28	57	32		
758	1	17	8	10	28	106	32		
759	21	12	2	28	4	157	4		
760	1	31	12	11	4	157	3		
761	22	15	13	12	4	174	2		
762	1	17	8	10	28	102	32		
763	1	44	8	10	28	140	32		
764	1	12	3	2	3	97	3		
765	1	12	3	2	46	102	3		
766	18	15	2	6	4	3	50		
767	1	62	80	28	35	55	30		
768	1	3	135	2	2	50	3		
769	21	35	3	28	1	145	50		
770	21	12	13	28	1	84	5		
771	1	60	2	12	4	16	2		
772	1	1	13	12	4	92	2		
773	1	3	80	2	2	50	3		
774	1	62	80	28	35	117	45		
775	10	12	4	11	4	102	5		
776	2	21	107	32	26	198	5		
777	1	15	2	28	1	140	32		
778	1	108	2	28	1	69	45		
779	1	102	144	28	22	69	5		
780	1	3	3	2	2	199	3		
781	10	53	4	11	4	200	5		
782	56	104	137	67	55	165	75		
783	1	15	8	10	28	195	32		
784	1	3	3	2	2	107	3		
785	1	107	12	54	1	165	68		
786	18	3	3	2	1	184	4		
787	1	87	3	2	2	157	3		
788	1	87	3	2	2	144	3		
789	18	87	3	2	1	83	4		
790	1	15	3	2	2	104	3		
791	1	50	59	28	4	66	6		
792	18	3	3	2	1	97	4		
793	1	109	3	2	2	172	3		
794	1	12	42	60	1	157	4		
795	1	15	3	70	2	106	3		
796	21	15	3	2	35	106	4		
797	1	15	3	70	2	16	3		
798	1	3	3	70	2	142	3		
799	24	1	42	12	24	144	26		
800	1	3	3	2	2	201	3		
801	1	3	3	2	2	178	3		
802	1	3	3	12	2	201	3		
803	1	1	13	12	4	201	2		
804	1	15	3	70	2	202	3		
805	1	1	13	12	4	203	2		
806	21	15	3	2	35	202	4		
807	21	3	3	2	35	203	4		
808	1	1	13	12	4	204	2		
809	1	33	2	64	1	153	26		
810	18	87	3	2	1	99	4		
811	11	65	14	21	37	102	15		
812	10	33	4	11	4	98	5		
813	1	15	2	28	1	158	32		
814	1	15	8	1	1	106	5		
