ST	ICL1	MDR1	SAPT2	SAPT4	XYR1	ZWF1a	clonal_complex
184	1	4	12	23	36	9	
185	1	62	2	23	5	1	
186	1	63	2	30	69	2	
187	1	63	2	30	69	25	
188	1	33	2	30	69	25	
189	9	45	3	36	24	1	
190	1	64	1	37	27	7	
191	9	54	2	10	70	9	
192	1	59	1	10	3	1	
193	1	17	25	3	71	1	
194	1	65	3	10	2	7	
195	1	9	1	10	6	7	
196	1	9	3	7	18	3	
197	1	4	1	38	72	1	
198	1	7	3	39	73	10	
199	23	20	1	40	74	7	
200	3	65	1	6	52	4	
201	3	7	4	6	75	10	
202	10	7	4	6	22	4	
203	3	7	4	6	52	4	
204	5	7	3	23	3	4	
205	1	46	12	30	57	1	
206	24	71	3	10	24	3	
207	24	71	3	10	61	3	
208	25	72	3	7	81	26	
209	9	73	3	7	27	27	
210	1	74	26	7	82	1	
211	1	3	12	10	2	9	
212	1	75	12	10	2	9	
213	10	32	3	3	83	3	
214	26	76	3	42	4	27	
215	26	76	3	42	50	27	
216	26	77	3	42	4	27	
217	5	78	3	42	3	27	
218	3	76	3	43	1	9	
219	3	79	1	42	50	9	
220	3	7	4	44	52	4	
221	3	7	4	6	52	7	
222	10	7	3	6	84	4	
223	10	7	3	6	52	4	
224	10	7	3	45	52	4	
225	9	7	12	46	48	22	
226	1	80	27	10	44	9	
227	5	54	1	47	48	22	
228	1	32	3	10	85	3	
229	1	81	3	17	57	3	
230	1	4	12	10	3	9	
231	27	9	1	43	23	7	
232	1	24	3	7	24	6	
233	1	24	3	7	24	7	
234	1	7	4	11	4	3	
235	1	7	4	11	51	3	
236	1	7	4	11	50	3	
237	1	7	1	6	52	4	
238	1	7	4	6	52	4	
239	1	24	3	7	53	6	
240	1	24	3	7	47	6	
241	1	7	4	11	19	3	
242	1	17	3	7	1	3	
243	1	7	1	6	84	4	
244	1	7	4	6	67	6	
245	3	7	4	6	84	4	
246	10	58	4	8	31	3	
247	10	58	4	8	3	3	
248	1	7	4	6	84	4	
249	1	29	4	1	51	1	
250	1	82	3	7	24	6	
251	1	7	4	11	76	3	
252	1	66	3	7	9	7	
253	1	83	1	11	2	3	
254	3	4	4	7	77	7	
255	3	1	4	11	19	1	
256	1	1	18	1	31	1	
257	1	9	3	23	36	9	
258	28	84	28	7	86	28	
259	30	85	30	7	88	29	
260	3	86	12	11	73	3	
261	1	87	3	7	89	6	
262	1	24	3	7	90	6	
263	1	7	4	11	76	7	
264	3	4	4	17	77	4	
265	3	58	4	13	76	1	
266	1	49	18	1	31	1	
267	29	48	29	48	87	30	
268	3	39	3	7	90	7	
269	1	3	3	17	16	7	
270	1	7	22	7	31	9	
271	1	7	22	17	85	31	
272	3	7	3	33	2	7	
273	1	7	4	17	91	7	
274	1	7	3	17	63	7	
275	1	1	18	1	50	1	
276	1	4	22	23	85	9	
277	1	4	22	23	85	1	
278	1	7	4	17	85	7	
279	1	9	4	3	2	7	
280	1	22	22	17	2	7	
281	1	88	22	3	85	1	
282	1	61	4	11	4	7	
283	1	9	3	17	2	22	
284	1	7	12	41	2	7	
285	1	22	4	19	50	7	
286	10	7	3	33	2	7	
287	1	44	12	7	31	22	
288	1	61	3	14	2	7	
289	31	17	4	43	4	32	
290	9	89	4	23	92	2	
291	1	1	18	36	50	1	
292	10	7	3	38	85	22	
293	1	44	12	49	31	2	
294	1	44	12	7	48	7	
295	10	7	3	33	85	22	
296	1	7	4	17	89	7	
297	1	3	3	7	16	3	
298	3	27	3	7	77	7	
299	1	16	4	11	9	1	
300	1	22	3	7	2	7	
301	1	7	4	17	50	7	
302	10	7	4	6	2	10	
303	1	49	4	3	2	7	
304	26	44	4	23	16	1	
305	1	9	22	24	85	9	
306	1	7	3	40	16	3	
307	26	2	4	23	62	2	
308	1	9	4	3	50	7	
309	1	4	22	23	85	2	
310	10	4	4	41	77	4	
311	1	1	4	1	50	1	
312	3	7	3	33	2	22	
313	1	7	4	17	53	7	
314	32	88	22	3	85	9	
315	1	9	4	19	50	7	
316	1	9	12	17	2	2	
317	1	1	4	9	50	1	
318	3	4	4	41	77	4	
319	10	7	3	33	2	22	
320	1	1	3	19	2	7	
321	1	4	12	23	43	9	
322	1	7	12	50	9	3	
323	1	90	3	50	24	3	
324	9	90	3	50	12	3	
325	1	4	12	23	3	9	
326	31	1	1	34	5	21	
327	1	4	12	23	36	1	
328	33	91	29	51	93	33	
329	9	90	3	50	24	3	
330	1	44	12	7	48	22	
331	1	22	12	17	60	22	
332	1	1	1	10	9	3	
333	1	44	12	7	94	22	
334	9	7	3	3	1	9	
335	9	7	3	3	9	1	
336	1	9	12	17	2	22	
337	1	44	1	7	38	3	
338	1	9	12	17	2	3	
339	1	54	3	3	95	3	
340	1	57	31	10	8	7	
341	3	4	1	41	77	7	
342	1	92	1	11	9	3	
343	5	16	3	7	48	21	
344	1	17	2	14	1	3	
345	17	93	29	3	93	30	
346	3	4	1	41	77	4	
347	1	4	1	7	48	1	
348	1	89	1	7	48	9	
349	1	90	3	7	96	3	
350	1	3	1	7	48	1	
351	1	9	1	3	97	7	
352	1	61	1	11	4	3	
353	1	9	12	7	98	3	
354	3	1	4	34	1	21	
355	1	9	1	3	34	7	
356	1	90	1	10	1	7	
357	1	3	3	17	99	3	
358	1	3	12	7	2	9	
359	1	17	2	14	100	3	
360	1	18	12	17	68	3	
361	1	20	12	17	68	1	
362	1	22	4	3	4	3	
363	1	34	2	8	23	2	
364	1	94	3	7	101	3	
365	1	94	3	7	102	3	
366	1	94	3	21	101	3	
367	1	94	32	7	101	3	
368	1	95	4	4	50	1	
369	1	96	33	7	103	34	
370	1	97	3	7	1	3	
371	3	7	12	52	1	1	
372	5	3	3	7	48	4	
373	5	57	3	10	31	7	
374	5	61	3	11	68	3	
375	9	7	12	52	3	22	
376	9	7	12	52	48	22	
377	34	7	1	6	52	4	
378	35	96	34	7	103	34	
379	1	44	12	7	94	35	
380	1	22	1	53	24	7	
381	5	61	3	11	68	36	
382	1	32	3	14	57	1	
383	1	3	3	17	9	1	
384	3	7	1	6	52	10	
385	1	7	12	3	104	3	
386	1	4	22	54	36	9	
387	1	60	22	19	102	7	
388	1	3	3	17	9	23	
389	1	98	3	17	54	3	
390	36	99	1	55	23	37	
391	36	100	4	56	23	37	
392	3	7	1	6	51	4	
393	37	100	1	56	23	37	
394	1	9	12	17	60	22	
395	36	101	1	56	23	37	
396	3	26	3	7	9	7	
397	37	100	4	14	23	37	
398	1	100	4	14	23	1	
399	1	102	3	11	48	22	
400	5	89	3	23	18	4	
401	1	9	22	23	36	9	
402	36	101	4	56	23	37	
403	15	91	29	7	105	38	
404	1	19	2	14	100	3	
405	1	32	12	10	95	9	
406	1	3	3	17	106	3	
407	36	4	4	56	23	37	
408	1	103	4	3	107	4	
409	32	104	12	3	17	2	
410	1	105	3	9	92	1	
411	1	7	12	7	18	22	
412	1	9	4	3	92	7	
413	17	93	35	57	108	30	
414	1	44	3	7	109	3	
415	1	9	4	3	48	7	
416	1	3	3	10	3	3	
417	1	9	22	23	43	9	
418	1	7	1	7	23	3	
419	1	7	1	7	38	3	
420	1	7	2	14	100	3	
421	1	7	3	7	58	3	
422	1	7	3	7	58	7	
423	1	7	12	17	24	7	
424	1	7	22	10	24	1	
425	1	9	3	17	85	7	
426	1	7	12	7	48	22	
427	1	9	3	14	60	22	
428	1	9	12	17	60	3	
429	1	9	12	17	26	22	
430	1	9	12	14	60	22	
431	1	123	2	17	4	1	
432	1	9	12	62	60	22	
433	1	9	12	17	85	22	
434	1	9	22	17	60	22	
435	1	16	1	3	9	1	
436	1	17	1	10	9	1	
437	1	22	1	19	4	7	
438	1	22	3	7	85	22	
439	1	22	3	7	72	7	
440	1	22	3	17	9	22	
441	1	22	12	17	60	7	
442	1	22	12	17	53	7	
443	1	22	12	17	60	31	
444	1	22	12	14	60	7	
445	1	26	3	3	48	3	
446	1	44	3	7	58	22	
447	1	44	3	14	60	7	
448	3	58	1	8	48	3	
449	1	44	12	21	94	22	
450	1	53	3	20	23	41	
451	1	56	1	59	9	3	
452	1	57	1	23	60	40	
453	1	58	36	7	68	39	
454	1	60	12	7	111	3	
455	1	61	1	11	4	1	
456	1	89	4	60	85	1	
457	1	89	4	38	94	3	
458	1	90	3	7	9	1	
459	1	90	3	7	2	1	
460	1	90	12	7	4	1	
461	1	92	1	7	9	1	
462	1	102	3	11	48	3	
463	1	108	3	3	9	3	
464	1	118	38	14	2	22	
465	1	109	12	17	56	9	
466	1	110	39	33	3	7	
467	1	110	39	33	4	7	
468	1	111	39	33	3	7	
469	1	112	3	7	68	3	
470	1	112	36	7	68	3	
471	1	113	12	19	116	1	
472	1	22	1	58	52	4	
473	1	116	3	38	2	9	
474	1	117	3	4	76	3	
475	1	117	3	7	9	32	
476	2	18	5	61	112	5	
477	1	9	1	10	54	3	
478	1	119	1	17	24	42	
479	2	20	5	61	110	5	
480	18	115	1	17	9	1	
481	2	20	12	61	60	22	
482	3	3	1	38	76	4	
483	3	3	3	33	76	4	
484	3	7	1	6	52	3	
485	3	7	3	7	23	1	
486	3	20	5	61	110	5	
487	3	22	1	10	27	1	
488	3	22	1	3	9	1	
489	3	22	1	3	27	1	
490	3	22	3	38	9	22	
491	3	42	37	7	113	3	
492	3	51	1	5	77	4	
493	3	61	1	38	77	4	
494	3	107	1	10	114	7	
495	3	114	1	3	27	1	
496	3	117	1	10	1	22	
497	9	90	3	10	115	3	
498	9	106	3	23	118	3	
499	1	7	22	52	92	7	
500	26	16	1	3	9	1	
501	38	44	3	7	58	3	
502	38	44	3	7	58	22	
503	10	4	1	41	117	4	
504	10	4	1	41	77	4	
505	26	7	12	52	119	22	
506	9	7	12	46	119	22	
507	9	7	12	52	119	22	
508	9	7	3	3	54	1	
509	9	3	1	7	120	3	
510	1	120	1	7	24	3	
511	1	16	3	4	24	3	
512	32	88	12	3	2	9	
513	1	121	3	11	24	9	
514	1	32	1	7	72	1	
515	1	50	3	50	50	1	
516	1	7	1	63	24	7	
517	1	20	12	7	68	3	
518	1	60	12	19	121	7	
519	3	32	1	41	77	4	
520	1	3	1	7	72	1	
521	9	16	3	3	9	1	
522	1	44	1	7	58	3	
523	1	22	2	14	53	3	
524	1	17	2	14	60	43	
525	1	7	1	17	24	7	
526	1	7	1	17	24	42	
527	1	92	3	38	107	1	
528	1	7	40	10	5	1	
529	9	90	3	7	94	1	
530	1	45	3	21	41	3	
531	1	49	1	64	77	1	
532	1	122	12	7	94	22	
533	35	96	33	7	103	34	
534	1	7	3	13	6	44	
535	1	7	3	3	92	1	
536	1	7	3	52	50	7	
537	1	7	22	52	50	7	
538	1	7	22	52	92	2	
539	1	7	22	52	13	7	
540	26	7	22	52	13	7	
541	26	7	22	52	50	2	
542	26	7	22	52	92	7	
543	26	7	22	52	50	7	
544	26	7	22	52	92	2	
545	1	13	22	52	92	2	
546	9	7	22	46	119	22	
547	5	7	3	23	48	4	
548	1	3	3	17	122	3	
549	1	124	2	14	60	3	
550	1	17	2	14	100	7	
551	9	54	4	38	70	9	
552	5	125	3	65	27	7	
553	5	126	3	65	27	7	
554	1	4	22	7	36	9	
555	1	122	3	7	58	7	
556	1	127	22	21	57	7	
557	1	7	3	3	48	22	
558	1	4	22	23	78	9	
559	9	54	4	10	70	9	
560	1	32	3	17	54	3	
561	3	60	41	19	123	3	
562	1	4	22	23	36	2	
563	1	7	1	6	52	10	
564	1	50	42	66	5	3	
565	1	2	42	67	5	7	
566	1	2	42	66	5	3	
567	1	2	9	67	5	1	
568	1	50	9	67	5	3	
569	1	2	42	66	31	3	
570	1	50	42	66	31	3	
571	1	56	1	68	9	3	
572	1	3	3	17	43	1	
573	1	7	12	50	57	3	
574	1	9	3	10	4	40	
575	1	22	7	13	9	44	
576	1	44	3	7	58	1	
577	1	44	3	7	124	3	
578	1	66	12	20	9	3	
579	1	90	1	7	15	1	
580	1	90	1	7	24	1	
581	1	90	1	7	27	1	
582	1	90	1	7	74	1	
583	1	90	1	69	9	7	
584	1	97	3	7	81	3	
585	1	117	1	7	43	1	
586	1	117	1	7	125	1	
587	1	117	1	7	126	1	
588	1	117	3	7	9	1	
589	3	7	1	6	84	4	
590	9	7	12	46	3	9	
591	9	7	12	46	3	22	
592	9	7	12	46	34	22	
593	9	7	12	46	41	22	
594	9	7	12	46	127	22	
595	9	7	22	46	48	22	
596	9	7	43	46	48	22	
597	9	34	1	13	128	9	
598	9	128	3	3	27	3	
599	9	129	12	46	3	22	
600	26	7	12	46	48	22	
601	1	22	1	13	9	44	
602	26	7	3	7	92	2	
603	1	9	22	14	92	7	
604	1	7	22	7	85	7	
605	26	7	22	52	85	2	
606	26	7	3	3	92	1	
607	1	49	3	33	85	1	
608	26	7	12	52	92	2	
609	26	7	3	3	92	42	
610	1	7	3	3	92	42	
611	19	27	4	36	80	10	
612	1	7	4	7	85	7	
613	1	31	3	33	85	1	
614	1	34	2	79	136	2	
615	9	76	12	80	9	47	
639	1	150	2	13	56	1	
662	1	7	3	10	6	6	
663	1	7	3	17	16	3	
664	1	22	12	17	8	7	
665	1	22	12	17	134	7	
666	1	32	12	23	55	1	
667	5	89	3	3	118	2	
668	5	54	45	47	3	22	
669	16	142	4	20	132	1	
670	1	24	3	7	17	6	
671	39	143	47	7	88	29	
672	1	1	10	1	31	1	
673	1	17	48	14	65	3	
674	5	33	4	34	2	9	
675	3	7	4	6	6	7	
676	5	33	4	34	51	9	
677	1	1	10	1	6	1	
678	1	3	3	17	57	7	
679	1	3	3	17	6	3	
680	1	4	3	23	13	2	
681	1	7	1	6	11	4	
682	1	7	3	6	52	4	
683	1	7	3	9	52	4	
684	1	7	4	6	11	4	
685	1	22	12	17	2	7	
686	1	22	12	17	2	22	
687	1	34	3	13	2	2	
688	1	42	1	23	16	1	
689	1	42	1	23	54	1	
690	1	42	4	23	16	1	
691	1	50	3	10	54	1	
692	1	67	3	19	2	1	
693	1	96	34	7	92	34	
694	1	117	3	7	9	3	
695	1	7	4	17	11	3	
696	1	7	4	17	22	4	
697	1	42	1	14	54	3	
698	1	67	3	19	2	3	
699	1	7	3	44	11	4	
700	3	7	1	7	35	4	
701	1	42	4	23	9	1	
702	1	1	10	21	6	1	
703	1	1	3	23	6	1	
704	1	7	46	10	2	1	
705	1	22	12	78	60	22	
706	1	31	3	75	9	1	
707	1	42	1	74	16	1	
708	1	46	12	76	60	9	
709	1	69	3	77	135	1	
710	1	116	10	77	6	1	
711	1	139	4	17	6	3	
712	1	140	3	23	132	7	
713	1	141	3	8	3	1	
714	3	137	1	10	27	6	
715	5	141	1	10	2	32	
716	9	90	49	7	62	3	
717	25	138	50	7	6	3	
718	28	136	4	7	92	7	
719	31	131	1	15	6	3	
720	36	135	3	19	8	46	
721	36	135	3	19	85	8	
722	1	56	4	59	60	1	
723	5	117	3	7	48	21	
724	1	44	12	7	94	2	
725	1	94	3	10	137	3	
726	1	3	3	10	9	3	
727	1	22	12	17	60	9	
728	1	22	52	3	9	44	
729	5	131	1	81	24	1	
730	3	149	1	10	1	22	
731	3	148	12	11	74	1	
732	3	147	1	23	48	7	
733	1	3	3	7	92	7	
734	1	40	46	7	2	3	
735	1	42	3	74	85	1	
736	1	42	4	74	36	1	
737	1	122	46	7	36	3	
738	1	44	5	17	132	3	
739	19	145	42	7	85	1	
740	19	7	42	7	85	1	
741	19	69	42	5	85	1	
742	19	69	42	7	85	1	
743	5	69	1	34	51	9	
744	26	7	22	52	3	22	
745	2	20	4	10	19	5	
746	2	20	4	10	95	5	
