ST	ace	gltB	gmhD	lepA	lipA	narK	ndh
370	4	2	3	1	1	22	1
371	1	12	6	2	1	4	1
372	1	2	3	1	5	22	1
373	3	1	11	2	5	4	1
374	1	4	11	4	5	2	6
375	3	1	4	3	1	4	3
376	1	4	2	3	8	4	3
377	3	30	11	3	1	4	3
378	18	12	3	2	1	2	1
379	1	2	2	3	5	4	1
380	3	2	2	1	1	4	3
381	1	2	2	1	1	3	1
382	1	1	3	4	5	1	1
383	1	4	6	2	3	1	1
384	1	12	3	3	1	4	1
385	1	4	11	4	5	4	6
386	3	1	3	1	1	2	1
387	1	12	6	1	1	1	1
388	1	1	4	1	1	22	1
389	3	1	11	1	1	4	1
390	1	1	14	2	1	22	1
391	1	2	10	2	1	8	1
392	1	2	6	1	1	4	1
393	3	2	3	1	1	4	1
394	3	4	11	3	1	4	3
395	1	3	36	1	1	4	3
396	3	2	2	3	5	3	1
397	3	12	6	1	1	4	3
398	1	2	3	1	1	22	1
399	3	1	4	1	1	22	1
400	1	12	3	2	1	8	1
401	3	3	2	1	1	4	1
402	3	1	2	3	1	2	1
403	1	4	3	1	6	1	1
404	1	1	4	3	1	4	3
405	1	4	6	2	1	2	1
406	1	4	13	2	1	1	1
407	3	1	3	3	1	2	18
408	3	1	2	3	8	4	24
409	3	1	36	1	1	4	1
410	1	1	11	1	1	4	1
411	1	4	4	3	1	3	1
412	1	4	10	1	1	2	1
413	3	2	6	1	1	3	3
414	3	1	2	1	8	4	3
415	1	1	11	4	5	4	6
416	1	1	6	2	1	42	1
417	18	4	6	2	5	1	3
418	1	4	37	3	1	1	1
419	3	4	37	3	1	1	1
420	1	4	3	1	1	29	1
421	4	12	3	4	25	2	3
422	3	1	3	1	8	4	3
423	3	4	11	4	1	4	6
424	4	12	10	4	8	3	1
425	1	6	6	31	15	9	1
426	1	4	2	2	1	19	3
427	1	2	3	18	3	22	11
428	1	2	13	4	1	2	25
429	12	4	3	1	15	21	1
430	19	2	3	4	1	9	7
431	1	4	13	2	8	44	1
432	8	16	24	2	1	6	11
433	2	4	3	14	27	22	1
434	1	15	23	4	1	6	11
435	1	4	13	4	1	12	1
436	1	1	2	32	5	1	1
437	12	32	3	2	3	43	1
438	1	1	2	3	1	2	1
439	4	23	38	4	1	8	1
440	4	2	38	4	1	8	1
441	3	2	6	1	1	3	1
442	1	1	3	2	1	8	1
443	1	2	3	19	6	6	26
444	12	2	27	4	1	19	1
445	8	4	13	2	1	8	1
446	1	2	13	2	6	33	1
447	1	34	3	1	1	19	11
448	15	2	13	2	1	8	11
449	1	2	14	4	26	22	27
450	1	33	13	4	1	9	1
451	3	1	5	33	1	4	1
452	1	2	13	2	1	33	1
453	1	7	3	4	1	2	1
454	1	23	3	4	1	9	11
455	20	7	13	4	1	22	1
456	10	2	3	4	15	22	1
457	1	18	3	2	1	22	1
458	1	7	13	31	15	2	25
459	1	16	3	12	1	22	1
460	1	7	13	7	1	12	11
461	12	2	3	1	28	22	1
462	1	6	3	14	8	6	28
463	1	7	3	21	29	12	1
464	1	35	13	18	1	22	1
465	1	2	3	1	1	12	1
466	1	12	23	4	15	12	1
467	1	1	6	31	1	9	1
468	1	2	3	4	1	2	1
469	1	15	13	2	3	24	1
470	1	16	3	4	1	2	1
471	1	1	6	4	1	12	1
472	1	2	6	1	8	22	6
473	4	2	14	2	1	6	1
475	17	36	35	4	23	39	29
476	1	2	23	27	2	26	1
477	1	2	13	2	6	19	11
478	1	23	13	4	1	6	1
479	21	2	3	4	15	22	1
480	1	16	31	2	1	22	1
481	1	1	3	2	1	9	1
482	1	4	3	1	1	12	1
483	1	2	3	2	1	22	11
484	1	1	2	2	5	3	3
485	1	1	2	2	6	4	1
486	1	1	3	1	6	4	1
487	1	1	3	2	1	3	1
488	1	1	3	3	1	3	1
489	1	1	4	3	6	30	1
490	1	1	11	4	1	29	1
491	1	1	13	1	1	3	1
492	1	1	13	3	1	1	1
493	1	2	2	2	5	3	1
494	1	2	2	3	6	29	1
495	1	2	2	1	6	4	1
496	1	2	4	3	1	4	3
497	1	2	6	34	1	4	1
498	1	4	2	2	1	16	1
499	1	4	3	3	1	3	1
500	1	4	13	1	1	4	3
501	1	12	6	2	1	2	3
502	3	1	2	2	1	4	1
503	3	1	3	2	1	3	1
504	3	1	4	3	6	3	1
505	3	1	6	3	1	4	1
506	3	1	6	3	5	4	1
507	3	1	11	3	5	4	6
508	3	1	36	1	1	4	3
509	3	1	39	1	1	3	1
510	3	2	2	1	5	4	6
511	3	2	11	3	1	4	6
512	3	4	4	3	5	4	6
513	3	4	13	3	5	4	6
514	1	2	3	34	1	19	1
515	9	20	13	2	1	45	11
516	1	6	27	4	6	12	1
517	15	37	27	2	5	8	11
518	1	1	13	2	1	1	1
519	1	2	3	3	1	3	1
520	1	2	3	3	1	1	1
521	1	1	2	1	1	3	1
522	3	4	11	3	6	4	6
523	1	1	2	2	3	4	1
524	3	4	13	1	1	22	1
525	1	12	6	1	1	42	1
526	1	2	4	1	1	1	1
527	3	1	40	1	1	4	1
528	3	2	2	4	1	22	1
529	1	1	2	1	5	3	6
530	1	2	4	1	6	4	1
531	1	4	2	3	1	4	1
532	3	4	11	35	5	4	6
533	1	12	3	1	1	4	1
534	1	1	3	1	6	10	1
535	1	4	12	3	1	2	1
536	3	1	2	2	6	30	1
537	6	10	15	8	6	14	8
538	1	1	13	1	1	19	1
539	1	1	4	1	6	30	1
540	1	4	2	2	6	4	1
541	3	4	2	3	5	4	1
542	3	1	11	3	6	22	3
543	3	4	11	3	5	1	1
544	1	3	2	3	8	4	3
545	1	12	2	3	5	22	1
546	3	4	40	1	1	4	31
547	3	1	41	3	6	22	3
548	3	1	3	1	1	1	1
549	3	12	2	3	5	4	1
550	1	4	6	2	1	2	3
551	3	4	2	3	8	4	1
552	1	27	6	4	15	35	1
553	1	1	3	4	30	2	30
554	1	23	38	4	15	8	1
555	1	1	3	2	1	6	1
556	9	2	13	2	8	8	1
557	22	4	13	4	15	8	1
558	1	23	13	27	6	26	13
559	1	23	3	27	6	26	13
560	1	22	3	4	8	9	1
561	22	4	14	2	1	8	1
562	1	1	4	1	1	29	1
563	1	2	3	2	1	12	1
564	8	4	22	2	1	2	1
565	8	4	3	14	32	12	1
566	1	7	14	2	31	12	1
567	8	37	13	2	1	3	1
568	1	4	13	4	1	19	1
569	1	15	14	19	1	6	1
570	1	2	13	2	1	6	1
571	1	4	14	2	1	12	1
572	22	3	14	4	8	8	1
573	4	38	23	4	1	24	1
574	1	39	14	4	1	2	1
575	4	6	3	28	33	12	32
576	1	1	3	4	15	24	1
577	1	6	42	4	15	2	1
578	4	6	3	28	1	12	32
579	1	23	3	4	1	21	1
580	1	40	3	2	1	22	1
581	1	6	3	4	1	2	1
582	1	23	3	4	1	2	1
583	1	15	13	4	3	21	1
584	1	23	23	4	1	12	1
585	1	6	3	2	15	6	11
586	1	39	14	18	1	2	1
587	1	7	13	21	1	9	1
588	1	2	14	4	1	8	33
589	3	1	11	1	1	1	1
591	1	15	13	2	1	3	1
592	1	2	22	2	5	2	1
593	1	2	3	2	5	19	1
594	1	4	3	2	1	2	1
595	1	2	13	19	34	22	11
596	1	12	3	1	13	19	1
597	1	2	3	4	1	2	11
598	9	12	13	2	1	45	11
599	8	4	6	2	1	19	1
600	8	15	13	2	6	6	11
601	1	2	2	2	8	6	1
602	12	1	22	2	1	8	1
603	1	6	13	4	15	12	11
604	15	2	3	1	35	8	11
605	15	39	13	4	5	12	1
606	1	23	13	4	15	2	1
607	1	15	22	2	1	2	1
608	1	41	13	2	1	6	1
609	1	1	3	2	1	11	1
610	12	4	22	2	1	2	1
611	8	4	3	2	3	6	1
612	1	4	14	2	1	22	1
613	1	4	43	4	1	48	11
614	1	4	3	2	5	6	4
616	1	1	13	4	6	22	1
617	1	16	3	4	2	8	1
618	1	15	3	2	5	2	1
619	1	2	3	2	1	35	1
620	8	4	6	2	1	6	1
621	15	2	3	2	15	5	1
622	1	1	3	2	1	19	1
623	1	4	13	2	36	22	1
624	1	15	13	31	1	21	1
625	1	6	6	2	1	9	4
626	1	16	22	2	2	35	1
627	15	2	13	14	20	35	11
628	15	2	3	4	37	6	1
629	1	4	13	19	6	8	11
630	1	2	13	4	6	9	11
631	12	4	23	19	1	46	1
632	1	2	25	4	1	2	11
633	23	15	3	36	8	6	1
634	1	4	13	4	6	47	11
635	15	2	14	2	1	19	13
636	1	2	3	4	3	21	34
637	1	16	3	2	1	8	1
638	1	42	12	18	1	22	1
639	1	2	13	4	1	6	1
640	1	16	22	2	15	6	1
641	1	27	14	2	1	12	11
642	4	2	14	2	1	22	1
643	1	2	13	2	1	12	1
644	1	2	44	12	15	19	1
645	8	4	3	2	3	22	1
646	24	43	45	37	38	49	35
647	1	2	3	1	35	2	1
648	1	4	27	4	5	9	1
649	3	1	4	3	1	30	1
650	1	2	28	2	1	4	1
651	1	1	2	2	1	16	1
652	3	4	11	3	1	3	6
653	1	1	2	2	1	3	1
654	3	2	11	3	5	4	6
655	1	2	6	2	1	1	3
656	1	4	2	2	1	1	1
657	1	1	2	3	1	1	1
658	1	4	2	1	1	4	3
659	1	1	3	2	1	1	1
660	3	6	17	2	1	15	11
661	3	1	2	1	1	1	3
662	25	1	10	2	6	1	1
663	1	18	2	4	40	6	1
664	1	2	3	2	1	19	11
665	1	15	3	4	1	50	1
666	1	2	46	2	1	26	1
667	1	4	13	4	1	6	1
668	9	4	13	4	1	6	1
669	6	10	15	29	9	51	8
670	1	2	2	1	1	3	3
671	1	12	2	4	1	53	1
672	3	1	3	3	1	2	6
673	1	2	14	4	6	9	1
674	1	2	13	4	1	8	1
675	1	6	6	4	1	2	1
676	1	2	3	21	1	2	1
677	1	1	3	1	1	22	1
678	1	7	26	4	1	22	1
679	1	2	3	2	2	6	1
680	8	23	3	2	1	1	1
681	1	2	14	4	15	2	11
682	1	4	3	2	1	22	1
683	1	6	3	4	39	6	11
684	1	4	11	3	1	4	6
685	1	4	11	1	1	10	1
686	1	2	6	2	5	4	1
687	1	2	3	1	6	4	1
688	3	12	13	2	1	2	3
689	1	1	3	1	1	3	1
690	1	4	2	3	1	16	1
691	1	12	3	3	3	22	3
692	1	4	3	2	1	3	1
693	3	2	11	1	1	4	6
694	3	1	2	1	1	22	1
695	1	4	49	4	1	4	1
696	6	5	9	11	7	20	14
697	1	15	13	1	1	29	11
698	1	1	13	1	5	1	36
699	6	10	15	29	9	14	9
700	1	4	2	1	3	12	1
701	3	1	2	1	5	22	3
702	1	12	3	2	1	1	3
703	1	12	28	1	1	42	1
704	1	1	6	1	1	29	1
705	3	4	2	3	1	4	1
706	29	46	50	40	45	59	37
707	1	1	10	2	5	2	1
708	3	1	11	4	1	29	1
709	1	15	14	4	1	12	1
710	1	15	13	2	6	54	1
711	1	2	3	2	41	9	1
712	1	2	6	18	15	35	1
713	1	15	3	2	4	21	11
714	1	6	13	2	1	12	1
715	1	23	3	39	1	12	1
716	1	39	13	2	1	9	1
717	12	29	47	4	1	12	1
718	8	15	13	2	1	54	1
719	1	37	3	2	6	27	1
720	1	7	3	21	29	22	13
721	1	18	14	4	1	19	3
722	1	2	6	4	1	2	1
723	26	1	44	4	15	8	1
724	1	4	3	4	1	6	11
725	1	2	3	2	5	8	11
726	12	29	14	4	1	2	1
727	1	4	13	1	1	2	1
728	1	2	3	4	42	2	1
729	12	44	47	4	1	2	1
730	1	2	31	1	6	55	1
731	1	7	3	38	15	52	1
732	4	4	3	4	43	21	1
734	1	2	3	2	1	2	1
735	1	7	13	4	5	2	11
736	1	2	13	4	18	22	13
737	1	23	14	14	1	24	1
738	1	6	13	12	15	12	1
739	1	2	14	20	1	12	1
740	1	2	3	14	1	22	11
741	2	4	3	2	1	2	1
742	26	32	3	2	6	56	1
743	1	15	47	4	1	22	1
744	1	2	13	2	8	12	1
745	2	4	13	14	1	2	1
746	12	29	47	4	1	57	1
747	1	16	14	2	15	19	1
748	1	4	14	4	1	12	1
749	1	23	23	4	1	22	1
750	1	7	6	15	1	22	1
751	1	45	3	2	1	22	1
752	1	23	3	4	5	12	1
753	1	1	13	4	6	22	11
754	12	2	3	4	1	6	1
755	1	3	14	1	1	9	1
756	1	4	13	4	1	2	11
757	1	2	13	2	15	2	11
758	1	6	13	4	1	6	1
759	1	7	3	4	1	22	1
760	1	2	6	31	1	6	1
761	1	7	14	7	1	12	1
762	1	4	13	14	1	22	1
763	1	1	3	4	30	2	1
764	1	2	48	4	3	8	7
765	1	6	13	4	1	22	1
766	1	16	3	4	1	8	1
767	10	4	13	4	1	22	30
768	1	16	3	27	2	6	1
769	1	2	13	4	1	19	11
770	1	4	24	2	1	58	1
771	1	1	3	2	1	2	1
772	8	4	13	4	1	2	1
773	4	23	38	4	1	8	11
774	1	2	22	2	5	6	1
775	1	7	3	4	1	22	11
776	1	7	3	7	1	12	1
777	1	4	3	4	15	2	1
778	15	2	13	4	1	19	13
779	4	2	13	4	1	22	1
780	1	24	13	4	15	8	1
781	1	1	3	2	1	33	1
782	1	2	3	4	8	22	1
783	14	6	13	4	15	46	1
784	1	4	24	2	1	24	1
785	1	7	3	21	29	9	1
786	12	16	22	2	8	27	3
787	1	6	14	1	1	19	1
788	1	3	3	22	1	33	1
789	1	4	23	4	44	12	11
790	4	1	13	2	1	23	11
791	1	2	6	4	15	25	1
792	1	7	6	15	15	22	1
793	1	4	14	4	1	21	1
794	1	4	31	1	1	26	1
795	12	29	47	31	15	6	25
796	27	3	3	4	1	35	1
797	1	2	48	4	3	12	1
798	28	1	13	4	6	22	1
799	22	4	14	2	1	24	1
800	1	16	14	4	1	8	1
801	1	2	3	4	1	12	1
802	1	15	13	2	6	21	1
803	1	4	13	14	1	2	11
804	1	2	3	4	1	19	1
805	13	2	13	4	4	27	1
806	1	16	14	2	46	19	1
807	1	2	14	4	1	2	1
808	1	15	3	41	1	6	1
809	10	2	3	2	3	22	1
810	1	47	13	14	20	3	11
811	1	6	3	4	5	2	1
812	4	48	14	14	1	6	1
813	1	6	23	4	44	12	11
814	1	39	3	2	5	6	4
815	1	3	13	22	1	6	1
816	1	4	3	2	2	19	1
817	12	4	3	2	8	6	1
818	8	4	13	2	31	6	38
819	8	4	13	1	8	8	1
820	1	4	3	2	6	19	11
821	3	4	3	3	1	4	6
822	1	4	12	2	1	3	3
823	3	1	11	4	5	2	1
824	3	1	3	1	6	3	1
825	1	1	3	1	6	3	1
826	1	1	3	1	1	10	1
827	1	4	28	2	5	4	1
828	1	4	3	2	1	10	1
829	1	4	2	2	1	2	1
830	1	1	13	1	1	4	1
831	3	2	11	1	1	3	1
832	1	2	28	2	5	3	1
833	1	2	12	1	1	4	1
834	3	1	6	1	1	29	1
835	1	4	28	1	1	4	1
836	1	1	2	2	5	4	1
837	1	4	3	2	47	1	1
838	1	2	52	22	4	19	1
839	1	15	13	4	6	2	1
840	4	2	3	4	1	22	1
841	1	15	3	4	15	8	1
842	8	15	3	2	6	12	13
843	1	16	3	2	5	2	7
844	1	2	51	2	1	8	1
845	4	6	13	4	17	12	1
846	1	1	3	4	42	2	1
847	1	6	3	2	1	8	1
848	1	1	3	4	15	6	11
849	4	4	3	2	1	22	1
850	22	16	14	2	1	2	1
851	1	23	13	2	1	22	1
852	1	16	3	2	1	6	1
853	1	6	3	4	15	19	1
854	4	2	6	2	1	1	1
855	30	2	52	1	1	2	1
856	4	2	10	2	1	2	1
857	4	12	3	2	1	8	3
858	1	12	3	2	1	1	1
859	4	12	3	2	1	1	1
860	4	16	13	18	6	6	1
861	1	4	27	4	1	38	11
862	1	1	13	2	8	6	11
863	1	49	14	2	1	27	1
864	2	50	13	2	2	2	2
865	1	2	13	2	6	19	1
866	15	2	31	2	6	27	15
868	1	6	42	2	15	22	1
869	4	2	13	4	1	12	1
870	1	4	3	2	15	22	1
871	1	4	2	1	1	4	1
872	1	1	2	1	1	10	1
873	3	4	6	3	5	4	3
874	1	4	3	2	1	4	1
875	3	1	2	42	1	4	3
876	1	2	13	2	15	2	1
877	1	12	3	43	1	27	1
878	1	2	31	2	1	22	1
879	1	1	10	2	6	1	39
880	1	16	13	2	1	27	1
881	4	1	6	1	8	60	1
882	1	16	3	4	1	12	11
883	1	2	3	4	15	24	1
884	1	2	3	2	1	3	1
885	1	15	14	2	1	8	1
886	1	4	13	4	15	12	1
