ST	adk	fumC	gyrB	icd	mdh	recA
98	3	301	184	3	3	3
99	120	290	136	186	141	164
100	93	281	108	194	103	98
101	114	1	3	3	204	1
102	165	190	136	146	130	144
103	135	171	136	243	131	144
104	173	147	118	123	102	96
105	3	4	5	247	2	6
106	3	306	2	2	2	1
107	3	1	190	225	2	1
108	4	172	163	228	148	127
109	46	66	50	47	56	54
110	47	67	51	56	57	54
111	48	51	52	47	42	55
112	49	68	39	57	42	56
113	38	69	46	51	58	38
114	33	70	39	58	40	57
115	129	274	132	140	130	124
116	51	71	54	60	60	59
117	51	72	55	61	60	60
118	52	73	56	62	61	61
119	51	74	57	61	60	60
120	53	75	58	63	62	62
121	1	252	7	4	2	210
122	54	75	59	64	62	63
123	55	75	60	63	63	64
124	56	76	61	65	64	65
125	57	77	62	66	65	65
126	58	78	63	67	66	66
127	59	79	64	68	67	67
128	60	80	65	69	68	66
129	60	78	66	69	68	66
130	60	81	65	69	68	68
131	58	82	63	70	69	66
132	4	172	148	207	211	121
133	61	83	67	71	70	66
134	62	84	68	72	71	66
135	60	85	65	69	68	66
136	60	78	65	69	68	69
137	63	86	69	73	72	66
138	1	266	184	3	2	2
139	58	87	65	74	68	66
140	58	88	70	75	73	70
141	64	89	71	76	74	66
142	65	90	65	74	68	66
143	3	303	2	2	2	1
144	3	194	205	2	2	148
145	58	82	63	70	75	71
146	66	91	72	77	76	72
147	60	81	65	69	68	73
148	67	92	73	71	77	74
149	68	93	74	78	78	75
150	69	94	74	78	78	75
151	70	95	75	79	79	76
152	71	96	76	80	80	77
153	69	94	77	78	78	78
154	72	97	78	81	81	79
155	73	98	79	82	82	80
156	95	117	107	194	198	102
157	74	99	80	83	83	81
158	1	265	7	3	3	148
159	75	100	81	84	84	82
160	160	307	4	4	3	6
161	75	101	82	85	84	82
162	76	102	83	86	85	83
163	77	103	81	87	86	82
164	70	95	84	79	87	76
165	70	104	85	88	79	84
166	1	170	3	1	216	212
167	78	105	86	89	88	85
168	79	106	87	90	89	86
169	80	107	88	91	90	87
170	132	291	55	237	138	160
171	81	108	89	92	91	88
172	82	109	90	93	92	89
173	1	252	184	3	201	208
174	79	110	91	94	91	88
175	79	111	92	95	91	88
176	51	294	204	151	123	138
177	83	112	93	94	93	88
178	84	113	94	92	91	90
179	85	110	93	90	94	88
180	86	114	95	91	95	89
181	87	115	96	92	96	91
182	86	116	90	91	92	92
183	93	117	101	100	101	96
184	93	118	102	101	102	97
185	94	119	103	102	103	97
186	93	120	101	103	101	98
187	95	121	104	104	102	99
188	4	122	105	105	104	96
189	96	123	106	106	105	97
190	93	124	101	107	106	100
191	127	297	215	142	123	103
192	4	117	107	108	101	96
193	95	125	105	109	107	101
194	95	126	105	110	107	102
195	93	120	101	111	101	96
196	95	126	108	110	107	102
197	3	304	184	3	127	207
198	3	306	2	2	203	1
199	95	127	107	112	108	96
200	97	128	101	113	106	96
201	98	129	105	107	109	96
202	93	122	109	100	103	103
203	99	130	110	112	103	96
204	100	131	111	114	108	104
205	4	172	198	232	133	121
206	101	132	101	103	102	100
207	96	133	112	106	108	97
208	95	134	113	115	110	97
209	93	122	114	104	103	105
210	1	293	4	3	139	211
211	129	222	149	216	184	193
212	100	135	108	114	111	106
213	93	117	101	116	102	96
214	118	298	134	203	214	126
215	93	136	111	114	108	104
216	102	137	107	103	106	96
217	93	124	105	117	112	98
218	93	135	108	114	101	107
219	4	138	101	108	108	96
220	4	172	198	207	133	215
221	101	128	101	109	102	96
222	101	139	115	118	103	97
223	3	305	4	3	200	1
224	93	124	105	117	101	98
225	93	140	102	107	106	100
226	1	302	3	3	2	206
227	93	141	107	111	106	96
228	95	142	108	119	103	108
229	96	143	108	120	103	97
230	96	139	112	106	108	109
231	95	117	108	107	102	96
232	95	144	101	111	101	96
233	103	133	116	106	103	97
234	93	144	108	111	104	100
235	129	275	163	166	146	197
236	95	145	105	109	113	110
237	95	122	104	104	108	97
238	101	140	108	108	106	97
239	95	129	107	111	106	96
240	4	117	117	111	106	96
241	95	140	102	107	106	100
242	93	125	107	111	102	111
243	93	126	102	121	103	103
244	95	129	107	108	106	96
245	95	146	105	122	102	96
246	95	147	118	123	102	96
247	4	148	105	111	106	97
248	93	128	101	111	114	96
249	93	149	108	103	103	98
250	104	150	108	124	108	112
251	95	117	108	111	106	96
252	103	151	119	106	115	97
253	118	295	134	224	183	126
254	95	117	101	100	106	111
255	147	217	219	186	131	196
256	129	171	132	219	194	124
257	105	117	105	109	102	96
258	95	145	101	111	106	96
259	106	152	108	125	103	97
260	95	153	108	106	103	102
261	93	152	120	126	103	101
262	4	283	148	221	152	127
263	104	134	108	104	110	102
264	170	243	166	151	123	202
265	107	154	121	127	116	113
266	95	122	104	104	108	99
267	95	134	102	104	110	102
268	104	150	102	104	108	99
269	93	155	101	108	101	96
270	108	156	122	128	117	114
271	140	299	134	142	213	103
272	106	157	102	104	118	99
273	95	117	102	129	101	96
274	95	120	108	109	106	97
275	93	150	108	246	196	97
276	4	285	148	231	148	127
277	160	292	4	4	3	6
278	100	136	108	130	108	106
279	1	178	1	2	201	214
280	100	136	123	130	108	115
281	4	287	135	220	133	127
282	158	8	7	3	2	206
283	93	126	108	121	108	103
284	35	262	39	47	191	41
285	4	120	105	111	106	98
286	109	156	124	131	119	114
287	110	158	106	110	105	116
288	93	159	107	103	120	96
289	1	265	184	245	2	6
290	118	296	206	223	157	126
291	115	278	222	153	186	194
292	111	130	105	116	102	102
293	4	120	107	111	106	96
294	112	160	125	132	121	117
295	113	161	126	133	122	118
296	51	162	127	134	123	119
297	52	163	128	135	124	120
298	4	164	129	136	125	121
299	3	300	7	3	206	209
300	171	288	135	251	152	179
301	123	271	208	233	171	171
302	112	299	215	223	165	103
303	162	265	200	3	127	3
304	1	303	201	3	2	213
305	51	165	130	137	126	122
306	114	8	7	1	127	1
307	93	117	101	103	106	96
308	115	166	131	138	128	123
309	4	172	197	144	212	215
310	168	309	56	236	123	173
311	105	117	105	139	129	97
312	116	167	132	140	130	124
313	4	284	163	230	148	215
314	117	168	133	141	131	125
315	118	169	134	142	132	126
316	3	170	4	143	2	3
317	119	171	132	140	131	124
318	4	172	135	144	133	127
319	120	173	133	145	131	128
320	132	218	223	142	188	203
321	121	174	136	146	134	129
322	122	175	137	147	135	130
323	109	156	122	131	119	114
324	4	164	138	148	125	131
325	4	164	139	136	125	132
326	1	1	140	3	3	3
327	123	176	141	149	136	133
328	124	177	131	141	137	134
329	3	178	4	1	2	135
330	3	265	217	1	3	212
331	125	179	142	150	138	136
332	95	128	203	238	205	101
333	4	191	198	169	215	217
334	4	286	163	250	148	191
335	129	277	221	242	193	144
336	126	180	56	135	61	137
337	169	268	210	169	220	133
338	113	267	213	227	122	204
339	1	170	7	3	139	6
340	166	310	136	241	195	144
341	51	308	211	202	199	200
342	4	264	216	229	148	192
343	161	303	199	248	2	1
344	4	273	212	207	207	199
345	156	246	207	239	218	216
346	35	261	195	249	190	41
347	4	272	212	232	209	198
348	133	279	220	234	210	190
349	127	160	134	142	121	103
350	128	181	143	151	123	138
351	164	269	214	235	221	133
352	123	270	209	226	219	201
353	115	182	136	152	140	139
354	172	263	196	244	189	34
355	4	272	212	232	208	199
356	129	183	144	153	141	140
357	130	184	145	154	142	141
358	163	282	218	222	217	205
359	95	117	108	109	102	97
360	131	185	132	155	130	124
361	4	164	146	136	125	121
362	129	168	136	189	134	134
363	132	186	55	60	123	142
364	129	187	136	156	131	124
365	129	171	132	157	134	124
366	129	188	147	158	143	143
367	115	171	132	159	131	144
368	131	197	150	172	131	144
369	116	171	136	160	144	124
370	129	171	136	146	131	124
371	131	171	136	159	131	144
372	95	126	102	104	103	102
373	129	247	136	161	131	124
374	116	171	136	161	144	124
375	131	171	132	146	131	124
376	115	189	132	157	134	144
377	133	190	132	161	145	144
378	4	191	148	162	133	145
379	131	227	136	161	131	144
380	135	171	136	156	131	124
381	129	192	133	163	146	146
382	135	189	132	161	131	147
383	135	190	136	161	130	124
384	131	171	136	157	131	147
385	1	252	3	3	139	1
386	129	168	172	189	134	134
387	131	171	136	164	131	144
388	3	253	191	3	187	5
389	129	190	149	146	131	144
390	93	124	101	103	106	96
391	135	190	136	157	130	144
392	129	193	132	157	134	124
393	135	190	132	140	130	124
394	119	171	136	146	130	147
395	93	117	101	111	106	96
396	3	194	7	2	2	148
397	119	171	132	146	130	124
398	4	124	107	108	101	100
399	131	195	136	164	144	149
400	129	196	147	158	143	143
401	116	240	136	189	144	124
402	123	311	224	252	171	218
403	112	160	125	179	151	103
404	129	198	149	253	131	197
405	95	128	203	254	205	101
406	119	190	149	161	131	144
407	114	301	200	1	3	1
408	174	312	225	255	146	219
409	95	313	108	107	106	96
410	131	197	150	165	131	144
411	4	191	198	169	148	217
412	174	315	226	256	146	220
413	95	122	104	104	102	99
414	175	316	227	257	171	221
415	176	317	210	258	222	221
416	3	305	201	3	2	222
417	115	318	221	168	186	134
418	129	198	151	166	147	146
419	95	118	102	104	107	223
420	1	319	190	259	223	213
421	93	126	108	246	103	97
422	1	251	7	3	1	233
423	129	171	132	140	130	124
424	123	320	224	252	171	218
425	177	321	210	258	224	224
426	4	199	139	136	125	131
427	178	177	133	189	131	134
428	116	171	136	161	131	153
429	129	240	234	189	144	232
430	4	273	212	232	209	145
431	155	243	229	260	225	226
432	1	301	184	3	2	206
433	93	149	108	100	103	98
434	179	172	198	169	226	227
435	131	171	152	146	131	124
436	93	130	101	194	102	96
437	3	335	4	3	3	1
438	180	322	230	258	227	228
439	115	177	136	167	144	150
440	165	310	136	136	231	147
441	131	197	150	168	131	144
442	129	240	136	189	144	232
443	33	49	41	272	232	46
444	131	323	164	141	228	125
445	3	265	4	3	2	5
446	3	293	1	3	2	6
447	93	137	101	111	120	96
448	1	324	4	247	1	1
449	129	325	136	146	131	124
450	4	284	148	231	148	215
451	4	326	135	263	133	121
452	165	310	136	156	231	147
453	93	122	108	112	103	101
454	4	327	135	264	208	199
455	106	126	231	265	103	103
456	95	328	108	266	107	102
457	4	329	163	267	152	229
458	95	150	108	238	106	230
459	118	330	134	142	159	126
460	134	195	136	164	144	149
461	4	200	153	136	125	151
462	146	219	232	152	229	231
463	129	336	187	270	141	125
464	4	148	107	107	106	97
465	95	125	108	103	106	96
466	3	4	4	3	3	1
467	129	220	235	186	131	165
468	131	244	136	271	131	144
469	3	1	1	3	2	234
470	4	204	153	136	230	121
471	4	117	101	107	108	101
472	114	194	7	3	3	148
473	4	204	181	136	125	121
474	4	164	153	136	125	131
475	4	201	154	169	148	152
476	135	189	132	189	134	124
477	4	204	153	136	125	121
478	116	168	132	189	131	144
479	129	277	221	168	144	134
480	129	198	133	256	131	128
481	135	168	136	161	131	124
482	2	251	4	3	2	6
483	3	1	3	3	238	1
484	1	345	190	277	2	4
485	95	333	233	269	205	230
486	118	344	237	200	159	225
487	3	8	4	245	236	1
488	182	337	236	273	237	237
489	4	204	153	136	233	121
490	131	171	132	161	131	153
491	143	340	136	182	234	134
492	4	338	241	136	125	132
493	114	4	3	1	139	4
494	4	339	129	276	125	121
495	135	343	136	141	131	124
496	95	334	107	108	101	100
497	4	204	242	136	125	121
498	4	204	238	136	125	131
499	123	346	243	275	171	236
500	1	238	4	3	200	206
501	100	314	111	114	108	104
502	3	251	200	3	5	212
503	118	234	228	142	183	225
504	129	203	239	168	239	182
505	4	164	181	136	125	235
506	142	198	133	178	235	128
507	3	4	3	1	2	4
508	115	182	136	261	140	139
509	131	342	136	178	144	150
510	1	301	184	262	2	1
511	118	331	134	268	214	126
512	129	332	136	146	130	124
513	1	251	184	278	200	3
514	181	190	136	189	130	144
515	4	164	241	136	125	131
516	23	347	240	28	14	30
517	129	341	171	274	141	166
518	3	265	184	3	238	1
519	135	171	132	161	131	153
520	118	202	155	170	149	154
521	131	182	156	171	131	150
522	147	219	149	186	131	134
523	129	203	160	256	184	134
524	114	170	3	3	139	238
525	115	203	132	157	134	144
526	135	348	132	189	134	124
527	118	344	244	200	159	225
528	95	126	105	279	107	102
529	183	349	107	100	240	239
530	136	350	245	206	150	155
531	113	247	247	227	122	204
532	1	265	246	3	241	206
533	131	187	136	156	131	124
534	4	351	153	136	125	131
535	129	167	136	168	131	134
536	129	354	235	270	154	240
537	1	2	1	3	139	3
538	123	321	249	282	242	241
539	129	171	136	161	130	144
540	125	353	142	184	138	136
541	148	355	169	281	144	195
542	120	352	248	280	123	134
543	155	243	143	151	123	138
544	1	178	4	278	127	207
545	93	120	101	111	106	96
546	1	265	7	3	139	1
547	95	120	108	107	106	100
548	3	305	7	3	2	1
549	129	171	157	157	134	124
550	131	187	136	168	141	144
551	4	272	212	207	208	199
552	2	265	184	3	2	211
553	116	171	132	140	130	124
554	129	171	132	146	134	144
555	95	117	107	112	108	96
556	135	190	136	172	130	144
557	93	126	108	104	103	103
558	95	117	105	109	106	96
559	93	148	102	111	106	96
560	112	160	173	223	156	176
561	101	117	108	100	240	239
562	3	9	5	3	5	6
563	1	238	184	3	200	3
564	131	182	156	171	193	150
565	125	179	142	184	138	137
566	51	226	166	134	123	122
567	129	332	136	161	131	144
568	3	306	184	2	2	1
569	3	251	3	4	2	5
570	4	204	139	136	125	121
571	112	206	155	174	151	103
572	4	207	148	175	152	156
573	127	160	134	202	156	103
574	137	208	108	176	103	157
575	138	209	159	177	153	158
576	119	171	136	146	131	147
577	139	210	161	169	155	159
578	174	171	163	208	147	128
579	51	211	130	134	123	138
580	135	171	136	140	130	124
581	129	168	222	187	131	134
582	132	212	55	134	123	160
583	126	180	56	231	61	137
584	129	213	136	141	158	161
585	51	165	130	134	138	122
586	95	214	162	109	108	96
587	118	215	134	142	159	126
588	129	171	132	146	131	124
589	135	171	136	243	130	144
590	141	216	163	180	160	162
591	135	189	132	146	134	124
592	93	126	104	104	110	163
593	93	148	101	111	106	96
594	4	164	153	181	161	121
595	142	173	133	145	131	128
596	136	350	158	173	150	155
597	127	160	134	142	156	103
598	1	3	4	1	2	1
599	115	247	132	270	141	124
600	117	168	164	141	131	125
601	143	217	165	182	162	134
602	95	125	108	112	106	96
603	132	218	166	183	138	59
604	3	170	7	3	127	148
605	4	172	135	221	133	121
606	4	164	167	136	163	121
607	135	189	132	157	146	124
608	95	129	101	107	104	96
609	132	179	166	184	138	160
610	144	179	168	185	138	137
611	93	117	101	103	120	96
612	147	220	169	152	131	165
613	148	221	170	187	131	125
614	112	160	155	179	157	103
615	129	171	136	161	141	144
616	115	189	132	157	131	124
617	4	191	163	162	133	127
618	155	243	166	151	123	138
619	3	4	1	1	5	148
620	129	222	171	188	141	166
621	129	190	136	146	134	144
622	129	198	163	256	147	146
623	135	189	136	156	130	144
624	118	160	173	190	165	103
625	4	204	167	192	167	168
626	129	203	136	210	131	124
627	3	1	190	3	2	1
628	129	224	147	158	168	143
629	4	172	135	221	133	145
630	129	188	147	158	168	143
631	160	307	4	3	3	6
632	4	172	163	162	133	145
633	112	160	134	142	165	103
634	127	160	215	202	156	103
635	4	172	135	169	133	174
636	1	170	4	3	2	3
637	4	164	174	136	125	169
638	165	171	136	146	130	144
639	129	190	132	161	130	144
640	115	247	136	161	131	124
641	129	171	136	219	128	153
642	1	3	3	1	2	1
643	1	335	4	3	2	3
644	115	275	176	161	131	124
645	122	167	137	147	135	130
646	95	134	104	115	110	102
647	4	172	135	169	133	227
648	112	160	175	193	169	170
649	3	253	191	3	5	5
650	93	130	108	194	103	96
651	135	171	132	164	130	124
652	112	160	134	174	151	103
653	103	225	119	195	170	97
654	51	226	166	134	123	138
655	93	120	101	113	106	96
656	146	219	136	186	164	164
657	95	117	101	106	106	96
658	95	117	102	111	106	96
659	101	120	108	116	109	96
660	4	172	198	169	133	145
661	101	120	108	107	109	96
662	118	296	244	200	157	126
663	4	326	163	221	133	174
664	95	153	105	112	103	97
665	95	117	108	100	106	111
666	95	117	105	111	106	96
667	4	172	135	232	211	121
668	4	172	135	232	152	121
669	105	126	102	123	101	96
670	93	122	108	194	103	101
671	149	223	141	191	166	167
672	95	146	108	103	101	96
673	93	137	101	107	106	100
674	150	177	136	167	144	150
675	95	328	108	110	107	102
676	2	2	1	1	2	1
677	4	334	101	194	106	111
678	1	258	4	278	200	3
679	131	227	176	146	131	144
680	123	228	177	196	171	171
681	4	164	138	136	125	121
682	1	252	184	3	3	4
683	129	229	135	197	172	172
684	132	308	55	202	182	60
685	122	167	133	147	135	130
686	122	167	133	167	154	130
687	3	335	7	247	5	1
688	51	226	178	134	123	138
689	51	226	179	134	123	138
690	140	299	134	142	165	103
691	51	255	192	134	123	122
692	128	243	143	151	225	202
693	2	301	191	3	3	1
694	95	117	101	123	106	96
695	93	122	108	100	108	97
696	95	117	102	107	106	111
697	51	243	166	151	123	138
698	51	211	130	134	123	122
699	127	160	215	142	121	103
700	116	168	136	189	131	124
701	112	160	215	190	165	103
702	132	308	166	60	199	60
703	4	239	185	175	133	179
704	1	170	3	3	2	148
705	100	136	108	130	108	115
706	115	310	132	157	131	144
707	155	243	166	151	123	202
708	129	171	136	168	134	124
709	115	247	133	161	131	124
710	2	9	7	3	5	3
711	3	4	5	3	2	6
712	151	160	134	190	121	103
713	135	197	132	198	131	153
714	4	207	135	225	133	227
715	131	227	136	155	131	124
716	136	230	158	173	173	155
717	131	171	136	146	130	144
718	93	122	105	105	174	96
719	52	163	128	199	61	173
720	4	204	138	136	161	121
721	118	231	155	200	175	126
722	121	171	136	146	134	129
723	1	1	4	3	5	206
724	4	232	180	144	133	174
725	3	265	4	278	200	3
726	152	233	163	201	176	175
727	93	120	107	111	106	96
728	1	1	3	3	127	1
729	118	215	134	142	157	126
730	127	160	134	202	156	176
731	4	204	139	136	125	131
732	4	204	181	192	161	177
733	118	215	155	203	157	126
734	153	234	182	204	177	126
735	51	256	193	184	123	160
736	3	1	4	3	3	186
737	154	235	183	205	178	178
738	3	1	3	1	127	1
739	4	236	108	100	179	98
740	136	237	158	206	180	155
741	1	238	184	1	181	3
742	98	129	107	107	106	96
743	93	349	102	109	106	96
744	132	179	55	202	182	60
745	1	1	4	3	139	1
746	93	117	101	100	120	96
747	95	120	107	111	106	96
748	95	117	117	111	101	111
749	95	126	203	269	110	101
750	3	305	190	2	2	148
751	95	328	105	110	107	102
752	121	227	176	172	131	124
753	93	137	107	103	106	96
754	114	4	7	245	139	1
755	131	168	136	188	144	150
756	2	4	184	1	2	3
757	129	336	132	161	131	182
758	115	171	132	146	130	144
759	116	189	132	240	134	124
760	116	171	136	168	131	124
761	135	171	132	189	134	124
762	115	171	132	157	134	124
763	131	197	150	141	131	144
764	129	168	136	241	134	144
765	129	227	179	156	131	144
766	129	190	136	241	134	144
767	129	168	172	189	134	129
768	146	219	136	188	229	231
769	129	290	132	146	130	144
770	3	8	184	1	2	212
771	95	117	102	111	103	102
772	93	149	101	100	103	98
773	3	2	3	3	238	148
774	93	120	101	123	101	96
775	5	11	8	6	7	7
776	129	275	133	270	146	128
777	131	171	132	146	130	124
778	135	171	132	161	131	144
779	93	120	108	111	108	96
780	129	171	132	210	131	124
781	4	239	185	207	133	179
782	116	240	136	160	144	124
783	115	277	171	168	186	125
784	136	350	158	206	150	155
785	146	336	132	161	131	182
786	93	126	108	112	103	101
787	1	301	6	4	2	5
788	112	215	134	203	183	126
789	129	171	163	208	147	128
790	93	136	108	114	111	115
791	115	241	186	209	184	140
792	1	293	4	3	2	211
793	132	212	55	184	182	160
794	4	172	163	169	133	121
795	129	171	136	146	130	147
796	116	171	132	161	131	144
797	112	160	134	190	165	103
798	93	120	108	111	106	96
799	93	349	105	106	107	96
800	95	117	101	123	101	96
801	129	171	136	210	131	124
802	115	171	132	146	134	144
803	1	252	184	3	2	1
804	165	310	136	241	231	147
805	1	252	4	3	2	1
806	160	4	7	4	3	6
807	129	242	187	211	131	134
808	37	68	41	58	46	57
809	155	243	166	151	123	180
810	93	144	107	111	101	96
811	115	244	188	212	128	181
812	129	187	136	210	131	124
813	120	245	133	213	131	182
814	3	265	7	3	2	1
815	115	244	188	212	185	181
816	2	265	7	4	3	148
817	93	126	108	121	103	103
818	116	168	136	189	131	144
819	156	246	145	214	142	183
820	119	190	136	189	130	144
821	157	247	132	161	131	124
822	127	248	155	142	156	103
823	131	222	235	164	141	231
824	115	249	189	168	186	184
825	129	198	163	166	147	146
826	55	75	58	63	63	62
827	1	265	4	278	2	3
828	46	67	41	47	57	54
829	95	117	105	108	106	96
830	25	34	23	29	28	30
831	42	62	41	52	53	41
832	1	8	184	1	3	206
833	112	160	134	190	156	176
834	3	1	4	225	2	206
835	93	120	101	111	114	96
836	3	194	4	3	3	4
837	4	356	198	250	133	227
838	115	402	133	410	131	125
839	142	539	133	145	131	128
840	223	265	344	1	2	1
841	147	244	235	186	141	265
842	168	180	179	62	256	120
843	4	117	108	108	106	111
844	51	582	262	61	182	60
845	93	122	101	111	106	96
846	3	545	190	259	2	1
847	132	291	262	60	138	142
848	127	160	215	380	156	103
849	132	423	314	202	384	262
850	95	144	101	111	295	100
851	168	404	56	439	61	173
852	116	240	179	160	144	124
853	112	160	134	142	121	269
854	4	488	424	169	152	391
855	200	299	155	223	151	103
856	86	451	394	332	296	290
857	70	459	279	368	355	264
858	247	592	366	390	31	293
859	271	448	384	418	302	393
860	7	589	10	9	10	11
861	51	562	430	202	123	119
862	118	531	134	351	285	126
863	128	607	166	151	123	138
864	184	473	402	312	343	13
865	4	164	153	181	161	382
866	113	267	379	307	122	346
867	51	71	428	60	60	59
868	269	561	328	417	284	261
869	127	160	134	399	156	103
870	294	481	163	264	368	358
871	132	72	179	202	188	59
872	4	485	163	144	374	255
873	267	521	254	151	123	138
874	75	382	179	87	84	312
875	96	548	106	336	108	97
876	93	117	101	108	106	96
877	113	267	247	227	122	204
878	131	197	136	168	131	144
879	93	122	108	119	108	105
880	146	219	235	141	407	134
881	1	250	190	3	2	148
882	1	251	3	4	2	5
883	3	252	190	3	2	135
884	131	182	136	471	131	150
885	51	254	166	151	123	185
886	294	496	135	489	215	358
887	51	255	192	215	123	160
888	132	256	193	184	123	160
889	1	251	4	4	127	186
890	136	205	158	173	150	155
891	131	174	160	178	154	134
892	140	160	134	142	156	103
893	4	164	153	136	125	121
894	145	179	142	184	138	136
895	35	66	41	51	40	331
896	131	227	136	155	131	144
897	93	608	102	486	404	421
898	93	608	108	486	405	422
899	282	160	336	380	121	103
900	96	548	106	106	108	97
901	4	232	163	230	133	279
902	255	593	307	465	397	354
903	136	555	158	173	150	412
904	123	447	411	427	365	224
905	4	551	167	192	167	168
906	131	171	136	157	398	147
907	118	445	134	142	280	387
908	41	49	355	426	291	404
909	30	438	332	354	34	401
910	77	382	81	84	84	312
911	5	494	8	6	7	303
912	21	486	431	25	273	291
913	45	357	41	42	320	331
914	58	426	438	67	69	286
915	191	528	218	408	402	396
916	51	226	435	134	123	138
917	30	570	34	34	34	33
918	207	303	420	3	216	208
919	114	4	3	1	139	214
920	4	367	135	385	148	192
921	95	155	101	431	106	96
922	4	551	181	192	161	177
923	4	172	198	342	215	302
924	113	267	179	169	122	204
925	51	575	166	458	256	294
926	205	599	344	297	5	1
927	51	442	166	215	123	336
928	286	595	274	343	321	322
929	114	403	4	3	2	4
930	95	576	105	109	107	101
931	188	492	102	353	371	330
932	190	397	312	202	353	262
933	2	4	184	1	2	258
934	116	240	136	488	144	124
935	129	189	150	161	131	124
936	129	566	136	457	131	140
937	118	215	155	200	157	344
938	127	160	155	380	156	103
939	208	442	166	134	123	138
940	1	301	4	278	127	207
941	112	609	134	142	408	103
942	4	172	372	374	152	402
943	224	384	375	361	378	268
944	255	593	326	465	397	354
945	4	172	163	169	306	121
946	272	14	437	440	31	18
947	115	568	222	153	289	194
948	287	259	251	169	133	179
949	129	446	136	468	131	240
950	3	574	4	3	3	4
951	123	360	208	233	171	221
952	132	611	223	202	188	137
953	93	365	122	340	119	114
954	4	273	261	232	209	198
955	244	471	166	487	123	122
956	95	612	107	474	106	96
957	113	267	317	315	351	380
958	11	508	367	373	281	284
959	193	212	55	134	123	160
960	127	160	134	380	156	103
961	95	134	113	104	110	102
962	116	240	136	160	144	403
963	260	285	429	263	133	373
964	4	431	198	411	347	246
965	131	446	235	306	131	150
966	131	168	222	187	131	335
967	129	275	132	168	130	124
968	4	204	329	136	163	121
969	131	419	136	146	131	129
970	190	483	389	202	182	262
971	146	222	171	274	376	368
972	127	248	155	380	156	103
973	100	613	108	114	111	104
974	4	201	135	136	332	245
975	306	619	317	227	409	321
976	118	469	264	268	410	103
977	96	158	265	106	103	424
978	51	490	166	215	356	406
979	232	620	391	485	308	175
980	4	435	139	136	125	132
981	225	398	166	184	138	160
982	96	133	266	118	103	97
983	167	171	132	198	131	263
984	4	479	135	370	325	317
985	135	332	132	168	130	244
986	238	267	317	133	122	360
987	112	556	179	223	390	387
988	146	416	133	164	145	128
989	292	305	184	3	2	3
990	4	496	148	169	373	257
991	127	160	134	142	156	313
992	129	342	179	168	376	147
993	260	449	198	232	133	174
994	4	191	269	403	215	121
995	132	610	271	490	123	137
996	129	171	179	477	131	124
