ST	ack	cpn60	fdh	pta	purA	sar	tuf	clonal_complex
97	4	26	1	1	8	1	2	
98	10	27	2	1	3	4	2	
99	2	13	2	11	7	1	5	
100	1	6	4	1	8	7	9	
101	10	2	2	1	1	1	1	
102	10	2	2	1	14	1	1	
103	3	2	2	8	4	1	1	
104	7	7	2	1	1	1	1	
105	1	7	1	1	6	1	1	
106	12	7	4	1	14	1	1	
107	1	7	6	1	3	1	1	
108	1	7	1	4	13	1	1	
109	4	8	2	1	3	1	1	
110	2	11	3	1	11	2	2	
111	2	2	1	1	1	2	1	
112	2	2	2	1	1	2	1	
113	3	9	2	1	2	1	2	
114	2	7	2	1	2	5	2	
115	3	11	2	24	11	1	1	
116	3	7	2	1	2	2	2	
117	3	2	5	8	1	1	1	
118	5	13	8	1	11	1	2	
119	5	33	4	1	18	1	1	
120	1	8	2	22	4	1	1	
121	2	9	3	1	1	2	1	
122	1	3	2	1	1	2	2	
123	3	9	1	2	1	1	1	
124	1	10	1	1	1	1	1	
125	2	10	2	1	1	1	1	
126	2	10	2	1	22	1	1	
127	2	10	1	4	1	1	1	
128	1	10	1	4	1	2	1	
129	1	7	2	1	6	1	1	
130	1	10	1	4	1	5	1	
131	2	10	2	8	1	1	1	
132	1	37	2	1	25	1	1	
133	8	2	1	1	7	2	2	
134	3	2	3	1	13	2	2	
135	3	2	1	2	4	1	2	
136	3	3	2	1	1	1	2	
137	2	7	2	1	5	2	2	
138	2	7	5	1	18	1	2	
139	2	7	2	2	10	2	2	
140	2	7	2	11	5	1	2	
141	1	8	1	1	4	2	2	
142	1	8	4	1	4	2	2	
143	6	8	4	2	14	2	2	
144	3	8	2	26	8	1	2	
145	1	50	2	8	6	1	2	
146	6	9	1	1	4	1	2	
147	2	9	2	1	5	1	2	
148	1	9	5	2	4	1	2	
149	5	25	2	1	8	1	1	
150	1	10	1	1	1	1	2	
151	7	10	7	1	4	1	2	
152	1	10	2	1	5	1	2	
153	2	10	2	1	5	2	2	
154	3	10	1	4	1	1	2	
155	2	11	2	1	1	1	2	
156	2	11	2	1	5	1	2	
157	2	11	2	11	5	1	2	
158	5	2	7	1	11	1	1	
159	1	13	1	1	4	2	2	
160	1	13	1	1	4	3	2	
161	2	13	2	1	7	2	2	
162	3	13	3	1	7	1	2	
163	4	13	1	28	1	2	2	
164	2	13	2	28	1	1	2	
165	7	24	1	27	7	1	2	
166	3	26	2	1	14	1	2	
167	3	38	3	2	10	4	2	
168	6	30	1	1	8	1	2	
169	2	9	1	2	1	1	1	
170	1	10	1	4	13	1	1	
171	1	7	2	1	5	1	2	
172	3	8	1	1	4	1	2	
173	11	9	1	1	7	2	2	
174	2	10	2	1	1	1	2	
175	4	13	2	28	24	5	2	
176	3	19	2	2	21	1	2	
177	6	13	1	22	4	1	2	
178	3	9	4	1	1	1	2	
179	3	2	2	1	2	2	2	
180	3	9	1	2	1	2	2	
181	3	11	2	24	20	1	1	
182	7	10	1	1	11	1	2	
183	1	45	2	1	13	1	1	
184	2	9	1	22	1	1	2	
185	1	9	2	1	2	1	2	
186	11	21	4	1	19	1	2	
187	1	10	1	4	11	1	1	
188	7	7	2	8	1	1	1	
189	2	25	2	32	7	2	1	
190	1	9	4	8	13	1	2	
191	2	8	2	2	7	1	2	
192	4	13	1	23	1	2	2	
193	5	7	4	1	7	2	2	
194	7	47	2	22	7	2	2	
195	3	9	1	1	1	2	1	
196	7	8	1	1	11	1	1	
197	7	9	1	32	7	1	1	
198	1	2	4	1	3	9	1	
199	9	7	2	1	5	2	1	
200	13	2	1	1	13	1	2	
201	5	11	2	23	12	1	2	
202	5	6	1	4	11	1	2	
203	17	9	1	2	1	2	1	
204	2	2	2	1	11	1	1	
205	7	8	2	4	13	2	1	
206	1	11	2	35	11	1	2	
207	7	43	1	2	5	1	2	
208	5	9	3	36	7	1	1	
209	8	44	2	34	5	5	2	
210	1	9	2	4	7	1	2	
211	2	6	2	1	8	1	2	
212	8	6	1	4	7	1	1	
213	7	8	1	1	2	1	1	
214	5	10	1	32	7	1	1	
215	1	8	2	1	11	2	1	
216	1	18	1	4	11	1	2	
217	6	11	1	1	8	2	1	
218	1	13	1	1	8	2	2	
219	1	18	1	1	2	1	1	
220	1	2	1	1	19	1	2	
221	1	2	2	1	16	1	2	
222	5	24	3	1	1	2	1	
223	15	24	2	1	1	1	2	
224	5	18	5	1	1	1	1	
225	3	9	2	1	11	1	1	
226	3	7	2	1	5	1	2	
227	1	11	2	1	5	1	1	
228	2	53	4	2	14	1	2	
229	1	33	9	8	1	1	2	
230	1	8	2	33	7	1	1	
231	1	9	4	40	21	1	1	
232	1	11	2	31	16	5	1	
233	1	10	1	4	1	10	2	
234	5	2	3	1	8	2	2	
235	12	11	1	1	5	1	2	
236	1	2	2	22	6	2	1	
237	1	7	2	41	11	3	1	
238	5	7	7	1	8	1	2	
239	5	11	3	1	1	1	1	
240	1	7	2	1	5	1	1	
241	1	21	4	1	23	1	1	
242	1	13	2	1	11	1	1	
243	1	7	3	8	11	1	1	
244	1	9	2	8	3	1	2	
245	1	13	4	36	13	3	1	
246	5	18	2	1	2	1	2	
247	1	47	1	1	15	1	1	
248	1	54	2	1	11	1	1	
249	5	2	4	1	8	3	2	
250	4	29	2	8	11	1	1	
251	1	39	1	1	11	2	2	
252	2	7	4	8	5	2	1	
253	1	2	2	1	26	2	1	
254	18	8	2	1	5	2	2	
255	5	2	9	1	5	1	2	
256	1	3	3	1	5	5	2	
257	2	13	2	1	13	2	2	
258	5	13	4	1	11	2	2	
259	1	2	2	1	11	2	1	
260	2	7	4	11	6	2	2	
261	5	7	4	1	11	2	2	
262	1	18	2	22	2	1	2	
263	5	13	4	1	1	1	1	
264	1	2	4	1	27	1	1	
265	5	13	4	1	3	1	2	
266	2	10	2	1	5	1	1	
267	5	13	1	1	3	2	2	
268	1	8	2	4	11	2	2	
269	1	8	1	4	11	2	2	
270	5	9	1	2	3	2	1	
271	1	10	1	4	3	1	1	
272	3	9	1	2	3	2	1	
273	5	13	1	1	11	2	2	
274	5	13	4	1	14	1	2	
275	3	27	1	1	3	10	2	
276	1	8	2	4	5	1	2	
277	5	13	4	1	11	1	2	
278	3	2	2	1	13	2	2	
279	5	7	4	1	1	1	2	
280	5	13	8	1	28	1	2	
281	4	31	2	2	1	2	2	
282	3	2	2	1	2	1	1	
283	1	24	10	4	1	2	2	
284	3	7	4	1	3	4	1	
285	1	7	2	8	7	1	1	
286	5	7	4	1	29	2	3	
287	4	13	1	1	3	2	1	
288	3	2	1	1	2	1	2	
289	3	9	1	2	6	2	1	
290	5	13	1	1	11	2	1	
291	5	13	3	4	1	5	1	
292	2	7	2	1	11	1	2	
293	1	24	4	36	1	1	1	
294	2	3	2	4	11	1	2	
295	5	18	1	4	3	2	2	
296	1	21	4	1	30	1	1	
297	1	13	2	1	1	1	10	
298	1	10	2	1	5	5	2	
299	11	2	2	4	1	1	2	
300	1	13	3	1	1	1	2	
301	1	18	4	1	11	2	2	
302	1	24	4	22	7	2	1	
303	1	7	3	1	11	1	2	
304	1	9	3	4	11	2	1	
305	1	9	3	4	1	2	1	
306	5	13	4	2	11	2	2	
307	5	7	2	1	11	2	2	
308	2	55	3	42	14	2	1	
309	1	2	2	1	1	1	1	
310	5	2	2	1	1	2	2	
311	3	7	2	1	2	1	2	
312	1	13	4	1	11	2	2	
313	5	2	2	1	5	1	2	
314	1	24	1	1	11	2	2	
315	3	9	4	2	1	2	1	
316	2	9	1	1	13	2	2	
317	1	10	4	4	11	1	1	
318	1	8	1	4	11	1	2	
319	1	13	2	1	5	1	1	
320	4	13	2	2	5	1	1	
321	1	6	2	20	2	1	2	
322	1	24	2	1	11	2	2	
323	7	10	1	1	13	1	2	
324	4	10	2	1	1	5	2	
325	3	2	2	1	14	2	1	
326	1	7	3	1	14	5	2	
327	1	7	1	20	11	1	2	
328	1	56	2	1	1	1	2	
329	4	2	2	32	1	3	1	
330	8	24	2	1	7	1	2	
331	5	2	2	22	7	11	2	
332	12	2	1	8	31	1	1	
333	1	7	1	4	7	5	1	
334	5	7	4	1	11	2	1	
335	1	7	2	2	13	1	2	
336	5	18	2	1	11	2	2	
337	1	21	4	1	11	1	2	
338	1	10	2	4	2	1	1	
339	5	9	2	1	5	1	2	
340	5	13	11	1	11	2	1	
341	7	2	4	1	1	1	1	
342	5	7	4	1	11	1	2	
343	5	13	2	1	11	2	2	
344	2	13	4	1	3	2	2	
345	5	20	4	1	3	2	2	
346	5	18	4	1	11	1	2	
347	1	8	3	4	3	2	1	
348	1	18	2	1	13	1	2	
349	5	13	4	1	11	2	11	
350	5	13	11	1	11	2	2	
351	5	13	4	1	11	2	12	
352	1	13	3	1	1	2	1	
353	5	20	1	1	11	1	2	
354	2	9	1	2	13	1	1	
355	5	57	4	1	32	1	2	
357	1	58	2	1	19	12	2	
358	3	9	1	2	1	13	1	
359	1	2	2	22	1	1	1	
