ST	nusA	rpoB	eno	gltB	lepA	nuoL	nrdA	clonal_complex
76	32	15	41	31	31	28	30	
77	33	15	40	31	32	28	29	
78	34	15	38	31	31	28	28	
79	34	15	39	30	31	28	26	
80	34	15	40	31	30	28	31	
81	34	18	42	31	31	28	26	
82	35	12	43	25	34	30	32	
83	36	14	44	25	33	29	34	
84	37	14	43	26	33	29	34	
85	37	17	43	26	33	30	34	
86	38	12	43	27	35	29	33	
87	39	16	62	29	37	31	35	
88	40	64	49	24	27	35	42	
89	40	65	50	24	25	36	43	
90	40	67	46	24	27	35	42	
91	40	68	47	24	27	35	41	
92	40	68	47	24	25	35	37	
93	40	68	48	24	26	35	40	
94	40	68	48	24	28	35	42	
95	40	70	45	24	25	35	38	
96	41	68	48	24	27	35	36	
97	41	69	48	24	25	35	36	
98	41	69	48	24	25	35	40	
99	42	66	46	24	25	37	39	
100	43	13	63	28	38	33	127	
101	43	13	63	28	38	34	44	
102	44	62	64	50	36	32	45	
103	44	63	64	50	36	32	46	
104	45	60	31	43	18	41	49	
105	46	58	31	44	19	39	48	
106	47	61	32	45	20	40	47	
107	48	58	33	46	21	38	53	
108	48	59	33	47	22	38	54	
109	49	57	36	51	23	42	50	
110	50	56	35	53	24	44	51	
111	51	55	34	52	146	43	52	
112	52	3	16	38	8	53	55	
113	53	3	57	39	10	56	56	
114	54	3	56	39	11	55	55	
115	54	5	57	40	9	54	55	
116	55	4	68	41	12	64	70	
117	56	6	53	42	6	51	57	
118	57	7	54	42	7	52	58	
119	58	1	51	37	2	50	63	
120	58	1	51	35	4	49	62	
121	58	1	52	37	3	49	62	
122	59	1	52	34	5	48	63	
123	60	1	51	36	1	49	62	
124	61	8	58	48	15	45	64	
125	61	9	58	48	17	46	64	
126	61	10	59	49	16	47	64	
127	62	1	60	33	14	58	61	
128	62	1	61	33	13	58	60	
129	62	2	60	32	13	58	59	
130	23	21	6	4	30	22	49	
131	32	11	54	34	23	11	20	
132	33	75	69	55	71	59	21	
133	33	12	55	111	24	122	21	
134	33	12	55	35	24	12	21	
135	34	20	70	9	27	28	44	
136	63	76	71	54	70	57	65	
137	64	39	2	1	59	4	2	
138	65	3	65	56	72	60	66	
139	66	71	65	56	73	60	68	
140	67	72	66	57	74	61	69	
141	68	73	72	58	75	62	21	
142	69	74	67	110	76	63	67	
143	70	14	44	26	77	29	34	
144	26	47	13	10	53	14	71	
145	71	51	20	60	78	23	19	
146	34	15	38	31	31	28	26	
147	72	53	73	61	79	24	72	
148	17	32	74	7	80	19	73	
149	68	12	72	59	24	62	21	
150	72	57	20	61	57	24	72	
151	61	5	58	54	16	6	64	
152	73	77	55	2	79	8	46	
153	14	26	2	4	59	2	2	
154	8	40	72	28	59	8	3	
155	20	42	10	24	69	20	17	
156	9	39	2	2	59	8	2	
157	7	40	2	4	59	8	2	
158	7	21	2	2	62	8	3	
159	6	26	2	2	68	8	1	
160	1	40	2	2	59	8	1	
161	24	6	13	10	55	16	22	
162	22	37	28	7	51	8	9	
163	14	40	2	1	67	65	2	
164	74	34	28	7	81	8	9	
165	28	78	75	18	57	23	19	
166	6	26	2	2	59	4	2	
167	59	1	52	34	5	48	74	
168	28	51	76	18	57	23	19	
169	75	79	77	62	83	66	75	
170	58	1	51	35	84	49	76	
171	2	80	2	2	59	4	2	
172	76	81	78	63	85	67	77	
173	1	26	2	2	87	69	2	
174	77	82	2	2	59	68	7	
175	1	26	2	2	86	4	2	
176	14	40	2	1	62	4	2	
177	78	5	79	3	88	6	78	
179	7	21	2	2	90	8	2	
180	1	26	2	2	59	8	2	
181	9	40	2	65	62	4	5	
182	6	26	2	4	62	4	2	
183	80	26	2	2	59	71	1	
184	81	84	2	4	59	8	2	
185	82	21	2	4	59	8	2	
186	83	21	28	4	62	72	2	
187	14	37	2	1	91	4	2	
188	84	26	2	2	92	8	1	
189	84	21	2	2	59	8	2	
190	44	85	64	50	36	32	45	
191	10	86	5	2	93	73	80	
192	86	87	81	66	94	74	55	
193	87	71	65	67	73	60	66	
194	88	88	82	56	95	75	81	
195	89	3	65	56	96	60	82	
196	9	40	2	2	59	13	3	
197	90	93	5	2	65	73	7	
198	6	89	2	65	59	4	2	
199	22	90	12	7	49	16	9	
200	9	91	2	65	87	2	2	
201	91	26	2	2	62	8	2	
202	91	92	2	2	59	8	2	
203	92	51	20	68	57	23	19	
204	17	28	24	15	46	76	11	
205	1	26	83	4	59	8	2	
206	14	21	2	4	59	2	2	
207	6	26	2	4	59	8	2	
208	93	44	79	3	16	6	83	
209	15	94	5	69	66	77	8	
210	94	95	5	70	97	78	2	
211	7	21	2	2	59	8	1	
212	95	21	2	2	62	8	2	
213	19	96	26	15	98	19	10	
214	96	97	23	15	99	19	84	
215	97	51	20	18	57	23	19	
216	98	28	26	5	100	19	11	
217	28	51	22	18	57	23	19	
218	27	51	18	18	57	23	85	
219	1	26	2	1	59	2	5	
220	64	39	2	18	59	4	2	
221	28	51	18	18	57	79	19	
222	99	40	2	4	62	8	2	
223	64	39	2	4	59	4	2	
224	6	26	2	4	59	2	2	
225	28	51	84	19	101	23	19	
226	1	26	2	4	62	72	2	
227	28	51	85	71	57	23	19	
228	2	26	2	4	87	8	2	
229	100	58	31	72	102	80	48	
230	7	21	2	2	62	4	2	
231	28	53	86	68	57	23	19	
232	64	98	1	2	103	4	2	
233	1	26	2	2	104	8	1	
234	6	99	8	2	62	8	2	
235	54	3	88	39	9	81	55	
236	6	100	1	2	59	8	2	
237	81	99	2	4	62	8	1	
238	28	53	87	18	78	82	19	
239	64	39	2	1	106	4	2	
240	102	101	89	73	107	83	87	
241	103	102	90	74	108	84	88	
242	27	51	18	18	57	23	86	
243	27	51	18	18	105	23	86	
244	101	53	20	20	57	16	18	
245	61	9	79	49	15	46	89	
246	104	26	1	4	59	8	2	
247	28	51	91	75	78	23	90	
248	1	21	2	2	62	4	2	
249	108	103	31	72	109	80	91	
250	105	84	2	5	59	2	2	
251	1	22	2	2	62	8	2	
252	1	26	2	2	62	4	2	
253	2	26	2	1	59	4	2	
254	6	21	2	4	62	8	2	
255	6	46	2	2	59	8	2	
256	6	91	1	2	59	8	2	
257	6	26	2	4	59	8	93	
258	10	93	6	2	65	5	7	
259	14	80	1	4	62	8	2	
260	14	39	30	1	59	4	2	
261	17	28	26	16	46	18	10	
262	17	28	27	16	43	19	11	
263	17	32	92	15	46	19	10	
264	64	104	1	1	59	4	3	
265	96	28	26	16	46	19	11	
266	105	40	8	2	59	4	2	
267	106	26	2	2	59	8	2	
268	107	93	93	69	65	23	92	
269	109	42	94	12	69	20	94	
270	14	26	2	4	62	85	2	
271	28	51	20	18	57	86	19	
272	6	105	2	2	59	87	2	
273	1	21	2	2	62	8	2	
274	28	51	20	18	57	23	19	
275	1	106	2	4	62	72	2	
276	1	26	2	2	59	88	1	
277	110	40	95	1	59	13	3	
278	2	107	2	2	59	89	1	
279	6	108	2	4	59	4	1	
280	106	26	2	76	59	8	1	
281	82	26	2	77	62	90	1	
282	111	21	2	4	59	9	3	
283	1	26	2	78	59	8	1	
284	4	40	2	4	110	8	2	
285	1	21	7	2	62	8	2	
286	1	26	2	2	59	4	2	
287	1	46	2	4	59	8	1	
288	28	52	91	18	57	23	95	
289	27	52	20	68	78	23	19	
290	4	40	2	4	62	8	2	
291	80	26	2	2	59	8	2	
292	9	99	2	2	59	8	2	
293	99	26	2	2	59	8	2	
294	4	40	2	4	53	14	2	
295	1	40	2	4	62	72	1	
296	1	46	2	2	59	8	1	
297	26	47	13	10	53	8	71	
298	26	50	14	10	62	8	22	
299	1	26	2	2	59	8	3	
300	57	109	96	42	7	52	58	
301	112	17	43	79	30	29	34	
302	17	28	24	16	43	19	11	
303	92	110	20	19	111	24	96	
304	113	112	20	19	112	24	19	
305	26	111	14	11	113	16	97	
306	19	28	78	15	46	18	10	
307	85	46	8	2	82	8	1	
308	34	15	40	31	31	28	31	
309	2	26	2	4	59	8	1	
310	80	26	2	2	59	8	1	
311	14	39	8	4	59	4	2	
312	6	26	7	2	68	8	2	
313	1	46	2	4	62	8	1	
314	14	37	1	1	59	4	3	
315	1	26	1	2	59	8	2	
316	19	77	63	15	46	51	10	
317	37	14	44	80	33	29	98	
318	40	113	49	24	25	35	42	
319	34	114	38	81	32	91	29	
320	50	55	34	82	114	92	99	
321	68	12	72	83	24	62	21	
322	61	9	58	84	15	46	103	
323	1	21	1	4	62	8	2	
324	1	115	2	2	62	8	2	
325	6	93	2	2	62	8	1	
326	2	118	2	2	116	8	2	
327	7	119	8	2	59	4	1	
328	9	40	2	4	59	8	2	
329	114	116	97	85	115	31	104	
330	115	117	31	86	18	39	105	
331	28	51	86	18	57	93	19	
332	116	20	41	31	117	28	29	
333	116	20	39	87	31	28	106	
334	14	121	98	1	59	4	3	
335	6	21	8	5	59	2	4	
336	117	61	31	86	20	40	47	
337	118	51	91	75	78	23	90	
338	119	122	99	82	118	94	107	
339	70	123	43	26	119	29	34	
340	77	93	100	88	120	95	7	
341	6	105	8	5	59	8	4	
342	6	26	2	2	59	8	2	
343	34	15	101	31	121	96	29	
344	120	15	43	27	33	29	33	
345	28	52	20	18	57	97	19	
346	6	21	2	89	59	8	2	
347	121	124	102	90	122	98	108	
348	122	55	34	82	123	99	109	
349	123	60	31	91	124	80	110	
350	124	125	44	92	125	100	111	
351	125	126	103	42	126	101	57	
352	54	3	57	39	9	102	55	
353	126	127	104	93	127	103	112	
354	93	128	79	3	16	6	83	
355	45	129	105	94	128	104	113	
356	54	130	106	39	9	55	55	
357	45	58	107	95	109	80	48	
358	45	131	107	95	109	80	115	
359	127	61	31	45	129	105	47	
360	128	132	108	96	130	106	114	
361	129	133	109	97	131	107	87	
362	130	134	90	98	132	108	100	
363	131	135	109	74	133	109	101	
364	103	102	110	74	133	110	102	
365	131	102	109	74	108	110	116	
366	102	77	109	99	134	83	117	
367	132	136	111	100	135	111	118	
368	133	137	112	101	136	112	119	
369	124	125	113	102	137	113	120	
370	134	138	114	103	138	114	121	
371	135	139	115	104	139	115	122	
372	136	140	116	105	140	116	123	
373	2	107	2	2	59	89	2	
374	137	92	2	2	59	8	2	
375	20	41	9	12	69	20	124	
376	64	39	2	1	106	117	2	
377	17	29	26	15	98	19	10	
378	1	26	2	106	59	8	2	
379	113	112	20	19	141	24	96	
380	139	29	22	15	143	19	73	
381	17	31	24	5	100	19	15	
382	141	140	119	109	140	121	123	
383	58	142	51	108	145	120	126	
384	138	141	117	107	142	118	125	
385	140	28	118	5	144	119	11	
386	14	143	8	2	59	4	4	
387	1	26	8	2	59	8	2	
388	26	50	14	10	53	16	22	
389	50	56	35	53	146	44	51	
390	43	13	63	28	38	34	127	
391	34	15	70	9	27	28	44	
392	75	79	120	112	83	123	128	
393	17	32	26	5	147	19	13	
394	34	15	122	31	148	28	26	
395	65	145	126	56	149	125	66	
396	143	146	31	114	20	126	129	
397	44	85	64	50	152	32	46	
398	44	148	64	50	153	32	45	
399	146	3	56	116	154	127	132	
400	142	6	125	42	155	101	133	
401	145	3	57	116	9	128	55	
402	144	144	121	113	156	124	134	
403	148	147	124	115	151	130	131	
404	147	109	123	117	150	129	130	
405	14	92	1	1	59	4	4	
406	14	26	7	2	62	8	2	
407	1	92	2	5	62	8	2	
408	105	37	8	2	59	4	2	
409	74	34	12	7	50	17	9	
410	110	98	1	1	62	4	2	
411	145	3	57	118	9	131	55	
412	9	26	127	4	59	71	2	
413	99	40	2	4	62	8	135	
414	149	149	96	42	157	51	57	
415	17	32	24	14	46	19	11	
416	150	21	2	76	59	8	2	
417	150	21	2	2	62	8	2	
418	151	21	2	4	62	8	3	
419	152	62	64	119	36	132	46	
420	112	150	43	120	158	29	33	
421	145	151	128	39	159	56	55	
422	153	17	43	25	77	133	34	
423	83	26	2	4	62	8	2	
424	91	21	2	2	62	8	4	
425	76	152	129	63	85	67	77	
426	6	89	2	2	62	8	1	
427	49	57	36	51	160	42	50	
428	25	47	13	121	55	16	22	
429	35	75	43	25	34	30	32	
430	38	75	43	27	35	29	33	
431	40	64	49	24	161	35	42	
432	32	75	130	122	23	134	20	
433	1	26	2	77	162	16	2	
434	6	26	2	78	59	4	136	
435	2	153	2	4	62	13	2	
436	154	154	30	123	163	23	6	
437	155	21	8	2	59	8	2	
438	2	26	2	124	59	8	1	
439	14	21	2	4	62	4	139	
440	1	26	8	2	59	8	137	
441	156	26	2	89	62	4	138	
442	2	40	131	4	59	4	4	
443	150	21	2	4	62	8	4	
444	81	84	2	2	59	8	2	
445	14	39	98	2	59	4	2	
446	1	26	1	2	59	8	1	
447	1	105	8	2	59	8	2	
448	1	26	2	4	62	8	2	
449	1	26	1	2	59	88	2	
450	150	99	2	4	59	8	2	
451	1	26	7	2	62	71	2	
452	157	155	2	126	62	8	2	
453	14	39	2	2	164	4	140	
454	150	26	2	2	62	135	2	
455	6	26	127	2	62	72	2	
456	159	53	86	68	57	23	19	
457	40	67	46	24	161	35	42	
458	158	156	58	127	165	136	141	
459	116	120	41	31	117	28	29	
460	116	120	39	87	31	28	106	
461	22	157	28	6	48	9	10	
462	19	96	132	15	98	19	10	
463	160	46	2	4	62	8	2	
464	4	40	131	2	59	8	2	
465	1	21	2	2	59	8	2	
466	102	77	109	99	134	137	117	
467	48	58	33	46	21	138	53	
468	116	15	41	31	31	28	30	
469	161	60	133	128	124	139	49	
470	7	119	8	2	59	4	142	
471	14	21	2	2	62	8	2	
472	95	93	2	2	62	140	2	
473	28	158	134	18	57	23	18	
474	162	5	57	116	166	56	55	
475	163	159	20	19	167	24	19	
476	14	40	8	2	164	4	2	
477	164	160	135	129	168	141	143	
478	1	26	8	4	62	8	2	
479	34	15	136	31	148	142	148	
480	165	161	91	130	169	24	72	
481	166	28	26	16	170	19	11	
482	167	162	137	131	171	143	149	
483	168	134	109	132	172	144	150	
484	1	46	2	133	62	8	2	
485	169	112	20	19	112	24	19	
486	1	105	2	2	62	8	2	
487	1	26	2	2	62	8	2	
488	1	26	2	4	59	8	1	
489	1	46	2	2	62	8	2	
490	79	83	80	144	89	70	79	
491	28	53	20	18	78	23	96	
492	9	26	2	2	68	8	2	
493	171	164	138	134	174	148	153	
494	175	40	2	1	59	4	151	
495	174	43	5	136	65	73	7	
496	176	112	141	130	141	147	19	
497	19	167	23	15	46	19	10	
498	179	166	30	140	179	119	155	
499	178	26	2	141	103	7	2	
500	177	26	2	2	59	8	2	
501	170	120	101	31	148	28	29	
502	172	51	18	18	57	23	85	
503	173	68	48	24	25	35	40	
504	107	93	93	69	177	150	92	
505	107	93	93	69	173	82	92	
506	14	26	7	77	62	149	2	
507	14	40	131	4	59	4	2	
508	14	99	2	137	91	13	2	
509	140	28	26	16	42	9	156	
510	180	166	30	143	178	152	1	
511	19	165	22	15	42	19	14	
512	27	51	85	138	57	24	19	
513	28	51	20	142	78	79	19	
514	28	53	86	18	78	16	152	
515	40	68	48	24	161	35	42	
516	54	3	57	116	9	151	154	
517	6	21	131	2	175	8	2	
518	68	75	72	139	75	145	21	
519	140	28	140	135	43	146	10	
520	28	54	139	142	58	23	19	
521	64	163	2	4	176	4	2	
522	1	26	2	5	59	88	2	
523	28	51	20	68	78	153	19	
524	181	112	142	130	141	24	19	
525	182	82	2	2	62	8	2	
526	53	151	88	116	10	127	56	
527	108	168	143	145	180	104	157	
528	113	112	20	146	111	154	19	
529	1	105	95	4	62	8	2	
530	1	40	2	4	59	4	2	
531	105	40	8	2	59	4	140	
532	41	68	50	24	25	35	42	
533	17	28	26	16	46	18	158	
534	183	21	2	2	62	8	2	
535	28	51	144	68	57	97	19	
536	17	169	22	15	43	19	12	
537	9	26	127	4	59	71	159	
538	61	9	58	48	15	46	89	
539	9	105	2	4	62	95	2	
540	161	170	133	44	102	41	49	
541	14	21	2	5	59	8	2	
542	184	93	145	2	120	155	160	
543	85	26	2	2	59	8	2	
544	26	47	146	10	53	14	71	
545	185	21	2	4	59	9	3	
546	28	51	84	19	101	23	161	
